ID	Group	Init. Comp.	S->E	E->I	I->D	D->R	f_a	f_e	g_a	g_e	r_a	r_e
Ind52	NA	NA	NA	NA	NA	NA	-1.21804	0.842241	-1.13271	0.173883	0.315952	0.299483
Ind53	NA	NA	NA	NA	NA	NA	-0.407368	-0.483592	-1.13908	-1.46736	0.269166	0.413077
Ind54	NA	NA	NA	NA	NA	NA	-0.833775	1.22449	-0.871747	1.38309	0.224717	-0.393938
Ind55	NA	NA	NA	NA	NA	NA	1.25681	-0.353003	-0.237707	-0.416972	-0.24617	0.616155
Ind56	NA	NA	NA	NA	NA	NA	-0.323137	-0.393792	-1.47738	-0.713948	-0.252855	-0.416048
Ind57	NA	NA	NA	NA	NA	NA	-0.303616	0.639571	-0.0239489	0.427099	-0.780965	-2.17466
Ind58	NA	NA	NA	NA	NA	NA	0.55696	1.50082	-1.07331	0.578723	-0.912448	-0.459454
Ind59	NA	NA	NA	NA	NA	NA	-2.21414	-0.260919	-1.8727	1.60268	0.588099	0.839057
Ind60	NA	NA	NA	NA	NA	NA	1.12128	0.0721124	0.626627	-0.301758	-0.127	0.7996
Ind61	NA	NA	NA	NA	NA	NA	1.71036	0.873513	-0.267265	-0.484469	-0.00921359	-0.790929
Ind62	NA	NA	NA	NA	NA	NA	-0.576059	1.94495	-0.43989	0.566773	0.809517	-1.37593
Ind63	NA	NA	NA	NA	NA	NA	-0.318404	-0.543329	-0.317062	1.86659	1.00487	0.903575
Ind64	NA	NA	NA	NA	NA	NA	0.0192987	0.461289	1.47965	0.66657	0.00828226	0.399019
Ind65	NA	NA	NA	NA	NA	NA	2.14304	0.13015	0.866506	-0.836419	0.562184	1.19949
Ind66	NA	NA	NA	NA	NA	NA	-1.06875	-2.51627	-1.37278	-0.454841	0.610768	0.98611
Ind67	NA	NA	NA	NA	NA	NA	-0.226792	0.132694	0.500651	0.388817	-0.539974	-0.251662
Ind68	NA	NA	NA	NA	NA	NA	-2.08689	-0.0730088	-1.11974	-1.30074	-0.476752	-0.0636342
Ind69	NA	NA	NA	NA	NA	NA	-0.311126	-1.47318	1.03516	-0.383996	-1.14016	1.56933
Ind70	NA	NA	NA	NA	NA	NA	1.97196	0.510473	1.11773	-1.94033	-0.379496	-1.40985
Ind71	NA	NA	NA	NA	NA	NA	0.101125	-0.185903	-0.393014	-0.513126	-0.183891	-0.511061
Ind72	NA	NA	NA	NA	NA	NA	-0.461589	0.388387	-0.394732	0.898955	0.836996	0.179446
Ind73	NA	NA	NA	NA	NA	NA	-1.9946	-0.0751868	-0.316527	0.628084	0.219731	-0.262053
Ind74	NA	NA	NA	NA	NA	NA	-0.793092	-0.656955	-0.473002	0.451148	0.0989073	0.44529
Ind75	NA	NA	NA	NA	NA	NA	-2.0292	-0.899078	0.598872	-0.119508	-0.134996	-0.215554
Ind76	NA	NA	NA	NA	NA	NA	0.759723	-2.0777	-0.294711	-0.384183	0.719188	-0.159974
Ind77	NA	NA	NA	NA	NA	NA	-0.751448	2.99019	-0.129565	0.0627967	-1.355	0.996114
Ind78	NA	NA	NA	NA	NA	NA	0.130405	-0.534309	-0.369795	0.745229	0.10518	1.41048
Ind79	NA	NA	NA	NA	NA	NA	0.337965	0.874075	0.281865	-0.190131	0.721818	0.144473
Ind80	NA	NA	NA	NA	NA	NA	0.57689	0.163573	0.952914	0.993699	-0.336514	1.04123
Ind81	NA	NA	NA	NA	NA	NA	0.812381	1.69325	1.47841	0.64923	-0.332346	-0.89924
Ind82	NA	NA	NA	NA	NA	NA	0.455238	0.612366	0.112177	-0.27295	-0.193558	-0.948708
Ind83	NA	NA	NA	NA	NA	NA	-1.08297	-0.704824	0.108387	0.38641	-1.03488	0.807923
Ind84	NA	NA	NA	NA	NA	NA	2.22088	0.690675	0.249368	0.33814	-2.16254	0.724169
Ind85	NA	NA	NA	NA	NA	NA	0.312146	-0.0789269	2.11547	-0.705649	0.184948	0.0103581
Ind86	NA	NA	NA	NA	NA	NA	1.00271	0.476693	0.871388	-0.0473826	0.341141	-0.212214
Ind87	NA	NA	NA	NA	NA	NA	0.622625	-0.312088	1.83804	0.534343	0.951986	-0.0411772
Ind88	NA	NA	NA	NA	NA	NA	0.389602	-0.0672629	0.109633	0.320558	0.729576	-0.516172
Ind89	NA	NA	NA	NA	NA	NA	0.253958	-0.356534	0.882761	0.915671	1.70583	-0.291885
Ind90	NA	NA	NA	NA	NA	NA	3.74251	-1.43106	-0.872404	-0.277915	-1.00961	-0.155747
Ind91	NA	NA	NA	NA	NA	NA	-0.714557	2.52931	0.296526	0.600104	0.737459	-0.955198
Ind92	NA	NA	NA	NA	NA	NA	-0.228685	1.45163	-0.0421302	0.363264	0.106546	-2.01981
Ind93	NA	NA	NA	NA	NA	NA	-0.602171	2.5402	0.223825	1.47256	-1.28878	-0.302756
Ind94	NA	NA	NA	NA	NA	NA	-0.366522	1.53898	-0.707524	-0.314581	-0.557795	-0.439953
Ind95	NA	NA	NA	NA	NA	NA	-0.192321	1.36603	0.592141	0.16914	-0.570059	-1.82945
Ind96	NA	NA	NA	NA	NA	NA	-0.0214965	-0.483204	-0.365333	-0.31235	0.228362	0.618051
Ind97	NA	NA	NA	NA	NA	NA	2.46617	-0.418022	2.55408	-0.858429	-0.729691	-0.128758
Ind98	NA	NA	NA	NA	NA	NA	1.32133	-0.933019	1.64497	-0.784023	0.111735	0.994353
Ind99	NA	NA	NA	NA	NA	NA	-1.26631	0.904926	0.458385	0.203172	0.386929	0.366318
Ind100	1	E	no	5.55477	15.2762	22.603	-0.0860423	-0.233318	-0.280904	-0.497422	-0.287218	1.43391
Ind101	1	E	no	2.81923	3.02091	3.75213	2.36885	-0.422461	0.559977	-1.74254	-0.669637	0.242163
Ind102	1	S	3.71657	11.4387	21.1329	22.6266	-0.0685586	-2.01856	-0.381936	0.239011	-0.320825	0.550385
Ind103	1	S	3.47825	157.082	182.545	192.092	0.562881	-1.23532	2.03127	0.181311	1.03324	1.58237
Ind104	1	S	3.09106	3.54459	3.93232	4.00185	-0.53392	-0.120947	0.439295	-0.440068	0.249417	-0.823753
Ind105	1	S	2.91478	2.98939	4.12042	6.79212	-0.082292	-0.15535	0.876449	0.197786	-0.686051	-0.401082
Ind106	1	S	6.24726	7.20258	8.1619	8.49362	0.442033	-0.803923	0.618617	-0.107257	-0.0120683	-0.420277
Ind107	1	S	3.67957	9.34363	13.5061	46.4547	-1.77075	-0.298408	0.254384	0.204591	1.02466	0.565924
Ind108	1	S	no	no	no	no	1.32458	-0.668231	-1.43663	-0.0386752	-1.54522	0.132491
Ind109	1	S	no	no	no	no	0.594116	-0.969287	-0.723911	-1.79677	0.252067	-0.60481
Ind110	2	E	no	3.05077	3.17417	5.78188	0.197673	-0.944489	0.586837	0.85786	-0.557094	0.718589
Ind111	2	E	no	0.181199	1.44562	2.22445	0.925085	-0.150478	1.80838	1.06269	-0.0884009	-1.01919
Ind112	2	S	11.0838	12.4599	15.9347	48.2168	-1.05242	-0.0892655	-1.66483	0.263771	0.355108	0.45987
Ind113	2	S	4.48541	10.4657	29.5688	58.0796	-0.245278	0.933944	-0.918741	1.00605	0.765902	0.516487
Ind114	2	S	0.260763	30.8426	235.297	246.141	0.124311	0.333878	1.93899	1.11309	0.492475	2.17998
Ind115	2	S	3.15217	7.45518	11.3838	14.2876	0.0199393	0.469097	1.05835	0.778462	-0.532659	1.3459
Ind116	2	S	47.6644	84.308	102.546	110.686	-3.41219	-0.356643	-1.26077	-0.517302	1.50133	0.206097
Ind117	2	S	4.18401	5.55074	5.96776	5.9829	-0.86159	-1.24593	0.558749	0.212314	-0.981885	0.063316
Ind118	2	S	0.777562	2.31097	2.92009	5.89171	-0.252279	0.907136	1.83742	-0.115959	1.13757	-0.655954
Ind119	2	S	11.6469	12.306	15.2209	15.9133	1.81082	-0.632627	-0.135771	0.681603	-0.536634	-0.116304
Ind120	3	E	no	1.94402	2.83157	6.06982	-0.532022	-1.40623	-0.672298	-0.575786	-0.773293	-0.202055
Ind121	3	E	no	3.32011	4.39944	4.8372	2.14637	-0.625776	1.29385	-0.844542	0.124139	-0.9404
Ind122	3	S	no	no	no	no	-1.15016	1.31203	-1.58057	-1.01046	1.56878	0.0393355
Ind123	3	S	4.88027	6.44145	6.8218	7.75053	1.2412	1.2034	-0.535862	0.182495	-0.8971	-0.242887
Ind124	3	S	4.50577	4.56459	4.62335	4.69785	-0.289676	0.760683	-0.645957	0.525396	-0.351608	-1.38273
Ind125	3	S	no	no	no	no	0.0654651	0.942825	0.139423	-1.57922	-0.240068	0.594744
Ind126	3	S	3.36777	4.11487	6.00925	6.89492	-2.1012	2.3235	-0.407058	0.251867	0.499032	-1.49229
Ind127	3	S	7.30466	8.85996	14.266	15.5863	-2.12383	1.36776	-2.14609	1.32846	1.01309	-1.12889
Ind128	3	S	4.50363	5.77935	5.82312	7.90109	-0.460409	-2.00607	-1.36612	-0.410973	-1.74033	0.983545
Ind129	3	S	no	no	no	no	-3.04506	-0.659351	-0.320967	-0.747996	-0.267088	-0.524748
Ind130	4	E	no	0.218676	0.51385	1.34665	2.63723	0.139509	2.06823	-0.325223	-0.866739	-0.983464
Ind131	4	E	no	0.893101	0.915304	0.965309	1.65717	-1.19147	0.440486	0.204117	-0.106577	-1.26066
Ind132	4	S	6.08125	22.1289	118.326	146.445	0.220658	-0.00799236	0.753694	-0.768684	0.82739	1.67221
Ind133	4	S	0.268898	17.6073	39.8258	57.7787	0.0180976	-1.00339	1.74376	-0.267568	0.961867	0.861298
Ind134	4	S	1.33501	14.03	29.4261	41.4738	0.263569	-2.38787	1.27649	-1.68425	-0.355624	1.71337
Ind135	4	S	0.235805	4.03072	5.18009	10.9416	1.58316	0.966404	2.31112	0.0634668	0.486694	0.0677241
Ind136	4	S	5.43505	6.21558	7.85168	8.62866	0.457763	-0.31045	0.214371	-0.291318	-0.143658	0.797681
Ind137	4	S	5.69098	7.60536	9.22347	15.6622	0.172531	1.47035	0.274859	-0.843621	0.673081	-0.718024
Ind138	4	S	5.20917	6.67457	9.15488	20.0849	-0.792936	-0.247984	0.0357759	-0.00128711	-0.484735	0.5291
Ind139	4	S	0.460475	0.626764	0.76063	1.10118	0.055764	0.627294	-0.169672	0.638181	-0.563727	-2.14182
Ind140	5	E	no	58.9435	166.461	302.559	0.444438	-1.70002	-0.729741	-0.242218	-0.526095	4.22286
Ind141	5	E	no	0.424511	2.96846	21.8974	-2.07813	-0.75158	-1.91544	-1.80451	0.0448061	0.0642003
Ind142	5	S	64.2727	64.895	65.5346	66.0222	2.94964	-0.243771	1.177	0.612657	-0.183724	0.264737
Ind143	5	S	64.9398	65.9026	67.3412	71.6479	3.05185	-0.433314	2.16962	-0.542791	-0.718206	0.156524
Ind144	5	S	65.4249	82.5142	88.0991	102.981	0.133134	-0.914568	-0.184444	0.846438	0.612534	1.40185
Ind145	5	S	70.1878	74.7575	76.2401	77.4742	0.847195	1.07146	-0.89656	-0.0615713	0.203121	0.336062
Ind146	5	S	66.0179	68.0229	68.7855	71.1921	-0.822854	0.419464	-1.22188	1.24908	-0.88191	0.0141661
Ind147	5	S	65.1875	97.9613	114.072	115.875	-1.13219	-0.165546	-0.300286	-0.0803686	1.06589	0.650785
Ind148	5	S	59.5483	66.4189	126.03	150.943	-1.15754	-0.364008	-0.643858	0.991374	0.476244	1.70934
Ind149	5	S	65.3475	66.0792	67.0759	72.1111	0.00114046	-0.0570879	-1.05702	0.390865	0.334966	0.135034
Ind150	6	E	no	0.699416	1.87267	1.96807	0.156594	0.110644	-0.576271	-0.15573	-1.5355	0.962158
Ind151	6	E	no	0.271684	0.895017	2.77183	-0.922418	0.187838	-0.474358	-0.85678	-0.76405	0.75822
Ind152	6	S	1.09773	82.1955	103.162	104.02	-0.973039	-0.135989	0.428823	0.0635577	0.020344	1.73622
Ind153	6	S	0.320378	0.782744	1.96965	2.34446	3.05199	0.484472	2.45897	0.82334	-1.12281	-0.719855
Ind154	6	S	1.29988	3.24713	5.11462	8.61222	-1.73698	-1.13999	-0.0652538	0.747483	0.951396	-0.161301
Ind155	6	S	0.815676	1.12136	1.34842	1.96263	-0.0744399	2.10742	0.470403	-0.175047	-0.491104	-0.694469
Ind156	6	S	1.63294	5.80664	10.7502	16.8997	1.72886	-1.07015	-0.567124	-0.286711	-0.525898	1.1531
Ind157	6	S	0.99129	1.25795	5.96947	6.69749	2.32691	-1.1372	-0.534776	0.646619	-1.07771	0.615912
Ind158	6	S	0.8725	2.03556	7.02655	7.27886	0.315597	0.972893	1.34556	1.23399	0.140478	-0.970382
Ind159	6	S	3.15449	6.1881	9.89718	11.709	0.0572059	-1.03925	-0.687477	0.135899	-0.281784	0.17678
Ind160	7	E	no	2.95615	26.4181	41.2071	0.658646	-0.966629	0.945496	0.655505	0.00141754	1.29992
Ind161	7	E	no	2.57317	3.95698	4.21943	-1.29017	0.367468	0.0723231	-0.710054	-0.841779	-0.318523
Ind162	7	S	12.267	12.5462	15.473	16.6751	-0.548897	0.815414	0.903014	-1.47392	0.313882	-1.42865
Ind163	7	S	3.53036	3.77824	4.27911	5.02202	-0.878481	0.478555	-0.574181	0.636322	-0.343409	0.00681022
Ind164	7	S	14.9716	15.9971	16.7373	20.9845	1.3454	0.793211	-0.64674	0.578057	0.00968824	-0.29519
Ind165	7	S	6.38805	14.7697	19.0162	22.6873	0.140445	1.61559	0.390855	-0.990936	1.60191	-0.558871
Ind166	7	S	3.88754	6.96193	8.48638	15.3562	-0.100784	0.899678	0.676359	0.715844	-0.222012	0.656201
Ind167	7	S	4.12906	28.2817	35.2614	39.2602	-0.813176	-0.770181	0.585095	1.6193	1.15378	-0.741487
Ind168	7	S	15.0245	17.1511	17.654	18.544	-2.16971	0.482998	-0.179115	-1.04257	-0.691997	0.31382
Ind169	7	S	4.08358	11.5524	28.5275	44.4565	0.586246	-0.300773	0.39723	0.313897	0.55775	0.316582
Ind170	8	E	no	0.260935	10.493	10.6346	0.925244	0.127513	1.88146	1.11382	-0.282512	0.0579176
Ind171	8	E	no	35.8811	42.1693	49.4643	0.629652	0.132211	1.07349	-1.04695	0.171096	1.87231
Ind172	8	S	5.90256	10.0624	13.0632	15.4491	0.542485	-0.286521	0.745982	0.171147	-0.235133	-0.124884
Ind173	8	S	20.9692	23.6464	25.6287	34.0579	-1.64941	0.529198	-0.0487927	-0.0114642	-0.173222	0.396779
Ind174	8	S	4.01175	4.03595	4.62964	16.1583	-1.15503	-0.00642193	-0.859171	0.454464	0.96274	-0.52574
Ind175	8	S	2.94308	6.86991	9.60737	10.8241	0.872599	0.741421	-0.404074	1.08804	-0.332087	0.633225
Ind176	8	S	8.33147	9.3238	15.6949	16.0518	-1.16511	0.0539702	-0.825067	0.203313	0.364278	-0.322271
Ind177	8	S	3.59492	3.84975	3.96758	4.06118	1.43131	0.298749	-0.347031	0.264741	-0.334701	-2.20344
Ind178	8	S	1.90212	18.0798	22.0103	27.515	0.934191	0.638822	0.197473	0.566967	0.406889	0.629798
Ind179	8	S	8.5074	9.61945	18.7741	19.5615	-0.576731	0.25884	0.0666999	0.566237	-0.0166307	-0.170496
Ind180	9	E	no	6.45155	7.93174	7.99663	-1.64969	0.00439407	-0.98337	2.04232	0.590061	0.295929
Ind181	9	E	no	0.736587	1.23986	1.66404	-0.13815	1.35804	-0.618986	-0.200649	-0.109774	-1.80013
Ind182	9	S	8.00954	14.2542	24.7605	28.297	-0.46287	-0.572226	0.34082	0.157526	-0.0331734	0.321552
Ind183	9	S	1.09707	1.1569	2.17044	2.8519	-0.632431	0.477823	0.337828	-0.233741	0.187507	-1.31111
Ind184	9	S	1.26931	6.01333	27.6875	29.4533	-0.306335	0.0514706	0.00533804	0.610665	0.907245	0.0213832
Ind185	9	S	1.11908	1.59322	1.91616	1.94131	1.17183	0.569003	1.14221	-0.510948	0.0834526	-1.72406
Ind186	9	S	0.762512	27.2459	40.803	58.8942	-0.0626963	0.519344	0.697838	1.29054	1.44	-0.333948
Ind187	9	S	31.5467	32.8165	32.9303	33.0655	1.59215	0.560694	0.486811	-0.418414	0.0180304	-1.11532
Ind188	9	S	10.3558	13.1729	13.6934	13.8748	-1.36744	-0.17265	-1.38961	0.78327	-0.737732	-0.202227
Ind189	9	S	48.0018	56.491	65.4685	75.2992	0.564135	-0.736299	-0.980558	-0.348574	-0.370875	1.55702
Ind190	10	E	no	0.263956	3.24691	3.33996	1.09428	0.247694	1.5644	0.982607	-0.412585	0.343043
Ind191	10	E	no	2.13133	8.40157	9.47352	2.04957	-1.12136	0.958373	0.365176	1.91448	-1.2695
Ind192	10	S	2.68463	5.43631	16.0801	20.4419	0.651182	-0.738438	0.816652	-0.00549208	1.09461	0.175754
Ind193	10	S	7.64206	19.7131	21.0597	54.7589	-0.332212	0.300289	0.532808	-0.570126	0.0606196	1.53312
Ind194	10	S	no	no	no	no	-2.17102	-0.573575	-0.934826	-2.05519	0.345382	-0.431333
Ind195	10	S	2.89499	14.5188	17.6011	18.6881	1.12128	-2.06656	1.1144	-0.22909	0.0402269	-0.201612
Ind196	10	S	2.00729	2.08092	3.72422	17.6744	0.600584	-0.374792	-1.27622	0.945183	0.640535	0.363028
Ind197	10	S	9.70314	13.623	13.9178	14.269	-0.622534	0.36494	-0.464431	-0.325814	0.866069	-0.148513
Ind198	10	S	4.8972	5.91406	9.78325	10.1999	0.0450008	0.456857	-1.08539	0.677584	0.11044	0.216632
Ind199	10	S	0.592452	2.04107	4.984	14.4561	-0.286639	0.899578	1.68132	-0.82874	0.485186	-0.0981815
Ind200	11	E	no	2.85488	3.94261	5.83138	0.352869	-0.525713	0.23811	-0.789351	-0.520339	-0.283154
Ind201	11	E	no	1.91183	7.11944	8.5466	-0.852022	-1.79181	0.628871	-1.09864	0.59549	0.481978
Ind202	11	S	no	no	no	no	-0.751581	1.06351	-0.714613	-0.743336	1.06322	-0.573309
Ind203	11	S	no	no	no	no	-1.79083	-0.0529416	-0.950594	0.109474	0.0815202	-0.498057
Ind204	11	S	no	no	no	no	0.949594	0.277669	-0.739118	1.11052	0.108605	-0.542589
Ind205	11	S	no	no	no	no	0.555369	-0.801547	0.575322	-0.721937	-0.311967	0.141874
Ind206	11	S	no	no	no	no	-1.28999	-0.398066	-2.03637	0.406017	-0.814208	0.812028
Ind207	11	S	no	no	no	no	-0.666716	2.11282	1.06507	0.0930486	-1.34864	-0.959779
Ind208	11	S	no	no	no	no	1.88761	2.38198	-0.00610068	1.63915	-0.291621	-0.31506
Ind209	11	S	no	no	no	no	0.773123	-0.771814	-0.413838	0.473587	0.0781188	0.876972
Ind210	12	E	no	9.1592	11.1467	13.3155	0.575723	1.05083	0.929038	-1.14706	0.227186	-0.721263
Ind211	12	E	no	1.71625	3.43974	5.19768	-0.267508	1.49705	-0.825917	1.51314	-0.296488	-0.175639
Ind212	12	S	2.3062	2.70439	4.36456	5.85073	-0.175356	1.81411	0.486379	1.07803	0.13548	-1.28563
Ind213	12	S	4.45438	6.88794	10.5517	12.6891	-1.32147	-1.22589	-0.739857	0.217808	0.223327	0.0997258
Ind214	12	S	2.56514	3.55209	3.67658	4.14926	-1.86567	1.03786	-0.1666	0.990612	-0.322727	-0.67382
Ind215	12	S	1.8128	3.72675	10.4005	11.0215	0.101604	0.275127	2.17137	1.93575	0.598021	-0.812436
Ind216	12	S	2.01294	2.79199	14.4575	19.2516	0.59726	-0.78379	0.138826	1.03423	0.392841	0.432323
Ind217	12	S	1.7629	2.21333	2.43041	2.95983	1.58024	1.78074	0.327181	0.716926	-0.215175	-1.20127
Ind218	12	S	2.43517	8.4504	11.3494	12.9217	-0.33503	0.483611	-0.62449	-0.598054	0.654142	0.159153
Ind219	12	S	2.25546	11.5029	21.4335	35.804	0.739414	-0.468614	-0.0109404	0.533107	-0.240043	1.11866
Ind220	13	E	no	6.29441	21.3986	28.8783	0.951545	0.55967	-0.412265	0.453732	-0.200625	1.71537
Ind221	13	E	no	1.17722	1.8719	5.4911	-0.484896	-1.90431	0.0363919	-0.448737	0.109975	-0.31228
Ind222	13	S	7.64616	8.08477	20.7946	24.4264	-1.01615	0.321176	-0.0666528	0.705686	0.267032	-0.00021993
Ind223	13	S	8.55266	9.6171	9.66315	9.73761	-0.33781	0.439647	-0.787827	1.09086	-0.333999	-0.883517
Ind224	13	S	6.86241	68.321	110.733	129.855	-1.26142	-0.230137	0.586465	0.00158816	0.5428	1.86131
Ind225	13	S	9.11692	10.6135	12.2951	12.3397	1.26126	-0.480725	1.84737	-0.542661	-0.382	-0.282318
Ind226	13	S	6.32789	6.35398	6.57781	6.90993	-1.05736	1.58952	1.1109	0.407962	-0.800682	-1.61158
Ind227	13	S	8.44979	10.3321	10.3356	10.5584	0.121011	0.578884	0.703288	-1.04941	-0.0231008	-1.25554
Ind228	13	S	6.67543	6.70738	7.48662	11.1322	-1.63524	0.399868	0.2368	-0.716524	-0.0245349	-0.333201
Ind229	13	S	8.0518	8.13585	10.052	32.6983	-1.80307	1.15864	-0.508786	0.217342	1.11698	0.0860992
Ind230	14	E	no	0.635761	10.4423	10.8352	1.7349	-1.78296	-0.810792	0.275007	-0.7359	0.806593
Ind231	14	E	no	1.02169	5.56046	8.58737	0.140291	-1.70896	0.902159	0.382251	-0.339729	0.191509
Ind232	14	S	46.587	47.1875	50.8053	50.8143	1.07762	-0.147774	-0.864217	-1.27526	-0.955472	0.0617436
Ind233	14	S	3.38033	4.17482	4.7915	5.82715	1.93017	0.0257923	1.44203	0.27543	-1.44308	-0.652067
Ind234	14	S	4.4362	21.0858	37.367	60.6948	2.12683	-0.925664	-0.410719	-0.10123	-0.317822	1.24095
Ind235	14	S	1.25136	3.35607	7.52338	9.23132	0.900939	0.459913	-0.433043	0.566734	0.549163	-0.290728
Ind236	14	S	7.10116	24.5936	29.8736	33.5649	-0.574341	1.9749	-0.959722	1.0457	0.60752	0.307586
