ID	Group	Init. Comp.	It	Rt	g_a
Ind68	NA	NA	NA	NA	-1.56864
Ind69	NA	NA	NA	NA	0.62354
Ind70	NA	NA	NA	NA	-1.99343
Ind71	NA	NA	NA	NA	-0.250276
Ind72	NA	NA	NA	NA	1.29151
Ind73	NA	NA	NA	NA	0.547683
Ind74	NA	NA	NA	NA	-0.359744
Ind75	NA	NA	NA	NA	-1.30162
Ind76	NA	NA	NA	NA	0.22271
Ind77	NA	NA	NA	NA	0.0271283
Ind78	NA	NA	NA	NA	0.283039
Ind79	NA	NA	NA	NA	1.3034
Ind80	NA	NA	NA	NA	-0.267279
Ind81	NA	NA	NA	NA	1.89694
Ind82	NA	NA	NA	NA	0.881816
Ind83	NA	NA	NA	NA	1.51706
Ind84	NA	NA	NA	NA	-0.0869714
Ind85	NA	NA	NA	NA	-0.74912
Ind86	NA	NA	NA	NA	0.375119
Ind87	NA	NA	NA	NA	-1.06458
Ind88	NA	NA	NA	NA	0.571074
Ind89	NA	NA	NA	NA	0.210945
Ind90	NA	NA	NA	NA	-0.843009
Ind91	NA	NA	NA	NA	0.92595
Ind92	NA	NA	NA	NA	-0.00712508
Ind93	NA	NA	NA	NA	0.66378
Ind94	NA	NA	NA	NA	0.422539
Ind95	NA	NA	NA	NA	-0.120176
Ind96	NA	NA	NA	NA	-0.257348
Ind97	NA	NA	NA	NA	0.523752
Ind98	NA	NA	NA	NA	-1.66259
Ind99	NA	NA	NA	NA	1.33899
Ind100	1	I	no	6.90569	-0.419128
Ind101	1	I	no	3.51113	0.93479
Ind102	1	S	no	no	-1.12744
Ind103	1	S	15.1948	28.3682	0.460502
Ind104	1	S	3.4026	20.6299	0.703474
Ind105	1	S	8.85663	15.5157	1.2694
Ind106	1	S	17.2364	43.4854	2.08454
Ind107	1	S	15.1364	19.7484	-1.59616
Ind108	1	S	0.981202	1.8587	-0.455159
Ind109	1	S	24.8435	51.0406	-0.560836
Ind110	2	I	no	5.37692	0.116694
Ind111	2	I	no	5.60995	-0.509565
Ind112	2	S	10.2412	12.3525	-0.504493
Ind113	2	S	8.25334	14.891	-0.751965
Ind114	2	S	11.5996	14.5223	-0.144329
Ind115	2	S	0.430736	23.9948	-0.0541621
Ind116	2	S	1.17647	3.83891	-0.602316
Ind117	2	S	3.41023	9.15649	-0.922548
Ind118	2	S	5.24434	21.9313	1.00603
Ind119	2	S	4.7764	6.60471	-0.406513
Ind120	3	I	no	5.69381	1.3842
Ind121	3	I	no	3.81305	-1.28327
Ind122	3	S	1.04032	6.5202	-0.0160791
Ind123	3	S	1.9156	2.651	0.410914
Ind124	3	S	no	no	0.637228
Ind125	3	S	2.16724	5.374	0.400129
Ind126	3	S	no	no	0.0571301
Ind127	3	S	no	no	-0.868202
Ind128	3	S	0.873645	1.01255	1.67258
Ind129	3	S	2.64529	4.90982	0.113057
Ind130	4	I	no	9.66962	0.786874
Ind131	4	I	no	14.3388	-0.426993
Ind132	4	S	0.646312	2.37711	0.685717
Ind133	4	S	0.140096	8.30205	1.21016
Ind134	4	S	17.4991	18.5839	0.0638817
Ind135	4	S	0.446324	4.7355	1.48772
Ind136	4	S	0.784239	4.30761	0.391056
Ind137	4	S	2.00364	17.9528	0.250633
Ind138	4	S	no	no	-0.76888
Ind139	4	S	1.54203	36.9742	0.382245
Ind140	5	I	no	2.00475	0.155316
Ind141	5	I	no	1.92776	-0.663976
Ind142	5	S	no	no	1.02075
Ind143	5	S	no	no	-0.216083
Ind144	5	S	no	no	1.63422
Ind145	5	S	no	no	-1.52616
Ind146	5	S	no	no	2.74508
Ind147	5	S	no	no	1.35287
Ind148	5	S	no	no	-0.68537
Ind149	5	S	no	no	0.063478
Ind150	6	I	no	3.04798	-1.07887
Ind151	6	I	no	1.76174	-1.3568
Ind152	6	S	no	no	-1.19426
Ind153	6	S	no	no	-1.1482
Ind154	6	S	no	no	-2.40937
Ind155	6	S	no	no	1.72198
Ind156	6	S	no	no	-1.12245
Ind157	6	S	0.550359	1.33724	-0.624806
Ind158	6	S	no	no	0.682945
Ind159	6	S	no	no	-0.86286
Ind160	7	I	no	6.52929	0.293796
Ind161	7	I	no	11.9619	0.788633
Ind162	7	S	17.4112	23.9858	-1.28725
Ind163	7	S	0.99502	4.32636	-0.90887
Ind164	7	S	5.33191	7.52004	0.707657
Ind165	7	S	2.01971	5.32898	1.01861
Ind166	7	S	0.71844	3.90585	0.949102
Ind167	7	S	2.58564	22.121	0.317281
Ind168	7	S	no	no	-0.969839
Ind169	7	S	11.9179	18.1709	0.731507
Ind170	8	I	no	4.79798	-1.10677
Ind171	8	I	no	0.103836	-0.852036
Ind172	8	S	14.2106	29.7324	-0.790627
Ind173	8	S	no	no	-1.84476
Ind174	8	S	8.52249	18.1733	-0.787995
Ind175	8	S	2.5183	16.776	0.024463
Ind176	8	S	no	no	-1.58259
Ind177	8	S	no	no	-1.74695
Ind178	8	S	no	no	-1.63545
Ind179	8	S	1.32289	17.113	0.845287
Ind180	9	I	no	2.04524	0.876461
Ind181	9	I	no	14.6413	1.80489
Ind182	9	S	0.928856	7.08827	-0.903523
Ind183	9	S	9.84892	29.5642	0.420243
Ind184	9	S	0.253331	3.33563	0.867654
Ind185	9	S	0.559193	5.53622	0.580973
Ind186	9	S	9.73723	23.2124	-0.486692
Ind187	9	S	0.763566	0.767246	-0.493451
Ind188	9	S	0.0668787	6.98685	0.886579
Ind189	9	S	0.629305	0.672578	0.0350237
Ind190	10	I	no	2.95406	-0.986823
Ind191	10	I	no	3.44763	1.16568
Ind192	10	S	0.124915	14.9533	1.56695
Ind193	10	S	4.91707	21.4219	-0.883562
Ind194	10	S	3.38391	4.09473	0.16009
Ind195	10	S	5.44417	10.0257	-0.246297
Ind196	10	S	1.40971	6.87394	1.65504
Ind197	10	S	1.47235	10.7284	0.687698
Ind198	10	S	5.54345	12.5062	-1.0013
Ind199	10	S	1.80871	8.65674	-0.111584
Ind200	11	I	no	10.9806	0.863783
Ind201	11	I	no	25.5018	-0.178561
Ind202	11	S	1.13121	13.4584	-0.740676
Ind203	11	S	21.6507	28.3466	-1.78649
Ind204	11	S	no	no	-1.02326
Ind205	11	S	3.24436	14.6964	-1.69774
Ind206	11	S	9.84418	18.3839	-1.75385
Ind207	11	S	6.40284	21.8882	0.91004
Ind208	11	S	no	no	-1.49188
Ind209	11	S	5.59317	8.70627	-1.90506
Ind210	12	I	no	3.86734	0.964424
Ind211	12	I	no	0.487184	0.664408
Ind212	12	S	no	no	-1.20395
Ind213	12	S	17.0334	25.728	-0.289401
Ind214	12	S	11.9746	21.1741	0.901846
Ind215	12	S	no	no	-0.371553
Ind216	12	S	1.88414	12.2986	-0.187465
Ind217	12	S	1.7186	20.3602	-0.339079
Ind218	12	S	2.13091	4.08025	0.303191
Ind219	12	S	13.2443	20.2749	-0.782437
Ind220	13	I	no	2.5385	-0.919157
Ind221	13	I	no	1.80934	0.224837
Ind222	13	S	1.2344	12.3561	-1.16145
Ind223	13	S	13.3806	20.0038	-0.646653
Ind224	13	S	11.1489	15.9902	-0.427498
Ind225	13	S	no	no	0.780514
Ind226	13	S	no	no	-1.96157
Ind227	13	S	10.4687	14.9196	-0.773282
Ind228	13	S	6.35908	15.8533	-1.14546
Ind229	13	S	7.62468	42.2672	0.505235
Ind230	14	I	no	6.67214	1.34721
Ind231	14	I	no	3.24125	-0.486767
Ind232	14	S	no	no	-1.5705
Ind233	14	S	no	no	-1.91715
Ind234	14	S	no	no	-0.119383
Ind235	14	S	no	no	0.119168
Ind236	14	S	no	no	0.181633
Ind237	14	S	no	no	0.889858
Ind238	14	S	no	no	0.447392
Ind239	14	S	1.19877	4.77967	1.25249
Ind240	15	I	no	9.84247	1.3908
Ind241	15	I	no	25.9391	-0.0195786
Ind242	15	S	no	no	-0.509663
Ind243	15	S	11.9609	24.2792	1.23685
Ind244	15	S	5.6078	12.8228	-0.0230354
Ind245	15	S	no	no	-1.13833
Ind246	15	S	no	no	0.359024
Ind247	15	S	3.41726	3.54088	0.522435
Ind248	15	S	9.62148	12.3729	-0.209213
Ind249	15	S	no	no	0.39514
Ind250	16	I	no	5.45793	-0.00679206
Ind251	16	I	no	22.1815	-2.47642
Ind252	16	S	0.944066	7.27446	0.647175
Ind253	16	S	0.555692	10.5599	1.38279
Ind254	16	S	no	no	-2.48759
Ind255	16	S	0.0510643	2.16475	1.69841
Ind256	16	S	0.471609	9.87893	0.0115519
Ind257	16	S	3.15691	7.41359	0.231794
Ind258	16	S	1.53365	19.8482	0.966942
Ind259	16	S	0.314834	6.04392	1.43331
Ind260	17	I	no	10.8426	-0.0248317
Ind261	17	I	no	5.80475	2.70427
Ind262	17	S	5.60139	9.24245	-0.238808
Ind263	17	S	no	no	0.157266
Ind264	17	S	3.55647	9.31789	0.194282
Ind265	17	S	4.60834	23.6946	-0.455243
Ind266	17	S	2.03546	8.28577	0.432546
Ind267	17	S	0.717667	8.70284	0.639355
Ind268	17	S	22.6688	26.9932	-0.544691
Ind269	17	S	1.5949	14.3305	2.01973
Ind270	18	I	no	0.669185	0.176149
Ind271	18	I	no	21.0083	3.74092
Ind272	18	S	no	no	-1.16362
Ind273	18	S	12.3152	14.5955	-0.52752
Ind274	18	S	5.02206	17.9368	0.520211
Ind275	18	S	0.165744	0.188383	1.08708
Ind276	18	S	no	no	-0.142222
Ind277	18	S	4.39135	13.362	-0.362052
Ind278	18	S	2.50883	12.0804	1.01478
Ind279	18	S	0.344978	7.64027	0.530052
Ind280	19	I	no	29.5211	-0.0833443
Ind281	19	I	no	0.598864	-1.5903
Ind282	19	S	no	no	-0.97623
Ind283	19	S	29.181	35.4841	0.404575
Ind284	19	S	18.0517	36.113	-0.546411
Ind285	19	S	22.7279	26.8555	1.34005
Ind286	19	S	19.032	22.9833	-0.746689
Ind287	19	S	16.643	19.7653	-1.83477
Ind288	19	S	15.0374	15.3998	-0.0545117
Ind289	19	S	32.3618	38.3687	-0.220034
Ind290	20	I	no	7.03919	1.3993
Ind291	20	I	no	0.122573	1.82044
Ind292	20	S	1.11543	14.3893	0.714969
Ind293	20	S	no	no	-1.38555
Ind294	20	S	1.68592	4.12216	1.25642
Ind295	20	S	3.77882	7.13613	-0.400536
Ind296	20	S	3.65808	7.48007	1.23575
Ind297	20	S	1.4313	4.3344	0.652242
Ind298	20	S	no	no	-0.570999
Ind299	20	S	no	no	-0.227792
Ind300	21	I	no	4.09193	-0.637745
Ind301	21	I	no	0.546597	0.246819
Ind302	21	S	7.38201	9.22972	-0.6221
Ind303	21	S	7.01511	11.9503	1.76613
Ind304	21	S	0.581669	1.72084	1.49526
Ind305	21	S	8.57448	14.3075	0.219935
Ind306	21	S	3.34104	13.5697	-0.11003
Ind307	21	S	9.10415	10.7124	-0.2525
Ind308	21	S	7.71124	22.6353	0.035195
Ind309	21	S	5.50039	9.61545	2.3045
Ind310	22	I	no	2.31335	-1.12977
Ind311	22	I	no	2.55644	1.08137
Ind312	22	S	no	no	-0.170832
Ind313	22	S	no	no	-0.658041
Ind314	22	S	no	no	-1.22935
Ind315	22	S	0.0533573	17.352	1.75716
Ind316	22	S	4.40337	7.35284	0.0855518
Ind317	22	S	1.53232	2.48076	-0.761676
Ind318	22	S	1.23379	6.25005	1.04324
Ind319	22	S	0.84177	6.88488	1.27729
Ind320	23	I	no	0.923725	-1.32154
Ind321	23	I	no	0.15291	-0.247085
Ind322	23	S	no	no	-1.47915
Ind323	23	S	1.86401	18.1726	-0.334274
Ind324	23	S	no	no	-1.08683
Ind325	23	S	1.39064	3.47782	0.330628
Ind326	23	S	no	no	-0.540194
Ind327	23	S	no	no	-0.667874
Ind328	23	S	0.796197	3.3112	1.31128
Ind329	23	S	1.15265	2.21382	2.13809
Ind330	24	I	no	5.24655	-0.778436
Ind331	24	I	no	16.239	0.333233
Ind332	24	S	no	no	-0.243889
Ind333	24	S	0.596575	26.3765	1.38437
Ind334	24	S	6.62022	10.7771	-0.04151
Ind335	24	S	5.2604	15.1856	-0.269437
Ind336	24	S	8.98826	9.10979	-0.597449
Ind337	24	S	0.648187	3.70993	0.506375
Ind338	24	S	14.9641	16.1029	0.0568259
Ind339	24	S	7.64209	14.2072	-0.604029
Ind340	25	I	no	3.66322	1.4001
Ind341	25	I	no	2.62334	0.723901
Ind342	25	S	5.48448	12.1859	-0.152643
Ind343	25	S	6.52453	16.3134	-0.755309
Ind344	25	S	1.83776	2.33889	0.93013
Ind345	25	S	7.08049	12.5945	1.11377
Ind346	25	S	2.514	8.01814	-1.32468
Ind347	25	S	9.02518	24.6513	-0.757987
Ind348	25	S	6.32548	9.27584	-1.65871
Ind349	25	S	no	no	-1.45669
Ind350	26	I	no	0.192556	2.45638
Ind351	26	I	no	2.00576	-0.669523
Ind352	26	S	no	no	-1.10296
Ind353	26	S	no	no	-0.690053
Ind354	26	S	1.64908	14.5907	2.03462
Ind355	26	S	no	no	0.0875838
Ind356	26	S	7.59187	7.59333	1.46106
Ind357	26	S	7.49186	8.66429	-0.122908
Ind358	26	S	2.03268	3.44547	1.4723
Ind359	26	S	11.1094	19.3218	0.157828
Ind360	27	I	no	0.753321	-0.672298
Ind361	27	I	no	26.4592	-0.401902
Ind362	27	S	26.0669	41.1506	-1.57385
Ind363	27	S	1.88669	4.29861	1.38843
Ind364	27	S	1.1785	11.0745	0.749177
Ind365	27	S	2.72974	10.5479	0.192329
Ind366	27	S	no	no	-1.91221
Ind367	27	S	24.9415	26.15	-1.19954
Ind368	27	S	1.04042	3.14129	1.56836
Ind369	27	S	no	no	-0.402718
Ind370	28	I	no	0.916098	1.50888
Ind371	28	I	no	10.7462	0.166515
Ind372	28	S	0.962514	3.35239	-0.375977
Ind373	28	S	no	no	-0.550325
Ind374	28	S	no	no	-0.154483
Ind375	28	S	2.98224	4.4996	-0.0899165
Ind376	28	S	6.49432	24.1993	-0.0140158
Ind377	28	S	3.16003	7.48555	0.159019
Ind378	28	S	3.23985	5.55554	0.253283
Ind379	28	S	10.6461	13.2949	-1.38128
Ind380	29	I	no	0.629261	0.901655
Ind381	29	I	no	10.3894	-2.04764
Ind382	29	S	no	no	-1.35291
Ind383	29	S	2.07138	4.78417	0.824672
Ind384	29	S	no	no	-2.33524
Ind385	29	S	no	no	1.21883
Ind386	29	S	no	no	-1.0236
Ind387	29	S	2.67968	10.2873	0.0643082
Ind388	29	S	no	no	-2.93799
Ind389	29	S	4.6794	13.6036	0.411917
Ind390	30	I	no	6.83305	1.19862
Ind391	30	I	no	9.53447	1.47534
Ind392	30	S	3.6706	7.46947	-0.551677
Ind393	30	S	1.39509	4.87528	0.453936
Ind394	30	S	0.134285	16.3114	2.05192
Ind395	30	S	0.744075	4.10786	-0.31615
Ind396	30	S	1.60626	2.51417	1.78282
Ind397	30	S	4.8422	17.9597	-0.057967
Ind398	30	S	0.940804	7.93612	0.541241
Ind399	30	S	0.292805	6.99688	1.4066
Ind400	31	I	no	6.22481	-1.55366
Ind401	31	I	no	1.13031	2.51555
Ind402	31	S	0.626019	1.44486	1.5215
Ind403	31	S	no	no	-1.61113
Ind404	31	S	0.845647	10.0581	0.383871
Ind405	31	S	0.477091	12.0505	2.20965
Ind406	31	S	no	no	-0.779984
Ind407	31	S	2.21093	4.94039	0.540755
Ind408	31	S	0.284066	6.2384	0.674936
Ind409	31	S	4.42059	7.59597	-0.280876
Ind410	32	I	no	2.94219	0.172972
Ind411	32	I	no	0.783532	0.0936657
Ind412	32	S	no	no	-0.998208
Ind413	32	S	no	no	-0.427743
Ind414	32	S	no	no	0.123043
Ind415	32	S	no	no	-1.04785
Ind416	32	S	no	no	-1.57741
Ind417	32	S	no	no	0.260952
Ind418	32	S	no	no	-0.214037
Ind419	32	S	no	no	-0.928827
Ind420	33	I	no	4.89769	0.706908
Ind421	33	I	no	5.41967	1.68008
Ind422	33	S	3.59153	6.39972	-0.537625
Ind423	33	S	no	no	-0.737745
Ind424	33	S	2.86435	3.17738	-2.00003
Ind425	33	S	2.80054	8.92283	1.27656
Ind426	33	S	2.92296	10.3809	0.465516
Ind427	33	S	1.40452	13.0363	2.79879
Ind428	33	S	1.97846	2.34166	0.677198
Ind429	33	S	0.669663	8.72554	1.6896
Ind430	34	I	no	0.016745	2.11675
Ind431	34	I	no	0.431307	-0.204928
Ind432	34	S	no	no	0.927149
Ind433	34	S	no	no	-0.274164
Ind434	34	S	no	no	0.951108
Ind435	34	S	no	no	-1.70446
Ind436	34	S	no	no	1.34246
Ind437	34	S	0.155451	2.52145	0.762703
Ind438	34	S	no	no	-1.23445
Ind439	34	S	no	no	0.133767
Ind440	35	I	no	12.0572	0.0971458
Ind441	35	I	no	6.46479	0.451088
Ind442	35	S	no	no	-0.418618
Ind443	35	S	1.04577	23.6896	1.71231
Ind444	35	S	no	no	-0.951163
Ind445	35	S	0.728025	9.21823	-0.979318
Ind446	35	S	no	no	-0.328367
Ind447	35	S	2.37083	3.20094	0.647555
Ind448	35	S	0.957884	12.9071	1.46015
Ind449	35	S	0.703392	3.09085	0.445235
Ind450	36	I	no	4.8796	-0.899546
Ind451	36	I	no	3.77252	-0.152863
Ind452	36	S	no	no	-1.89956
Ind453	36	S	2.31855	4.05756	0.47838
Ind454	36	S	1.70401	8.34186	0.251784
Ind455	36	S	no	no	-0.979675
Ind456	36	S	1.09538	13.4984	0.842355
Ind457	36	S	no	no	-0.314865
Ind458	36	S	no	no	-0.260177
Ind459	36	S	4.70782	4.90728	1.67037
Ind460	37	I	no	1.55853	1.32494
Ind461	37	I	no	6.39313	-1.54723
Ind462	37	S	no	no	-1.17769
Ind463	37	S	no	no	0.264232
Ind464	37	S	7.71494	9.10371	-0.283408
Ind465	37	S	5.61144	8.16592	-0.305064
Ind466	37	S	no	no	0.0172495
Ind467	37	S	10.2746	16.782	-1.79709
Ind468	37	S	4.55921	16.2691	0.500467
Ind469	37	S	2.88428	4.93274	1.58049
Ind470	38	I	no	4.58059	-1.19002
Ind471	38	I	no	1.55793	-0.201416
Ind472	38	S	1.89028	6.90482	2.27915
Ind473	38	S	1.77906	28.9896	-0.0622671
Ind474	38	S	1.6612	3.5846	1.16058
Ind475	38	S	no	no	-0.0655331
Ind476	38	S	0.64153	1.15108	-0.0207981
Ind477	38	S	24.7216	30.5429	-0.570623
Ind478	38	S	0.89594	12.8673	0.484484
Ind479	38	S	1.5286	8.1857	0.247705
Ind480	39	I	no	15.7243	1.09656
Ind481	39	I	no	0.582525	0.236867
Ind482	39	S	0.977941	2.4005	0.40698
Ind483	39	S	10.6199	14.2613	-1.0627
Ind484	39	S	no	no	-1.21214
Ind485	39	S	no	no	-2.51152
Ind486	39	S	9.76467	24.0959	-0.481844
Ind487	39	S	0.241713	7.27452	-0.44994
Ind488	39	S	no	no	-0.503307
Ind489	39	S	no	no	-0.0677795
Ind490	40	I	no	3.06726	-0.278025
Ind491	40	I	no	5.9282	0.203795
Ind492	40	S	1.30851	18.6404	-0.469367
Ind493	40	S	0.255509	19.4481	1.47573
Ind494	40	S	1.19966	3.82702	-0.0452593
Ind495	40	S	2.00621	11.2905	0.0926487
Ind496	40	S	0.520243	8.32068	0.934023
Ind497	40	S	0.0215296	2.28401	2.55822
Ind498	40	S	0.330522	11.1421	1.41725
Ind499	40	S	4.83944	13.6642	0.359718
Ind500	41	I	no	3.45976	-0.681852
Ind501	41	I	no	0.00365687	-0.250928
Ind502	41	S	no	no	-1.09849
Ind503	41	S	1.50916	7.62642	1.16124
Ind504	41	S	no	no	0.610148
Ind505	41	S	no	no	-2.30703
Ind506	41	S	no	no	-1.5103
Ind507	41	S	no	no	-0.532697
Ind508	41	S	no	no	0.293639
Ind509	41	S	no	no	0.844264
Ind510	42	I	no	2.10968	0.901091
Ind511	42	I	no	17.6008	-1.14367
Ind512	42	S	13.528	15.011	-0.293389
Ind513	42	S	14.4413	18.4104	0.713984
Ind514	42	S	5.47091	16.3149	0.0672862
Ind515	42	S	3.18132	5.58628	0.0621483
Ind516	42	S	no	no	-0.0667978
Ind517	42	S	13.74	21.3449	0.5884
Ind518	42	S	13.9583	19.748	-0.730707
Ind519	42	S	5.5481	7.16799	-0.00724518
Ind520	43	I	no	0.643768	-0.615364
Ind521	43	I	no	6.80651	-0.125328
Ind522	43	S	11.3731	17.6972	-1.62375
Ind523	43	S	4.28791	14.0594	-0.822466
Ind524	43	S	0.14953	3.47698	1.27221
Ind525	43	S	4.59073	23.2571	-1.55647
Ind526	43	S	4.80919	5.32973	0.506817
Ind527	43	S	1.24072	9.92878	0.119117
Ind528	43	S	11.8761	15.5232	-0.837192
Ind529	43	S	1.28129	1.51407	0.446523
Ind530	44	I	no	0.655791	0.946615
Ind531	44	I	no	0.203265	-0.0269149
Ind532	44	S	no	no	1.48633
Ind533	44	S	no	no	0.768324
Ind534	44	S	no	no	-0.811779
Ind535	44	S	no	no	0.18738
Ind536	44	S	no	no	1.47942
Ind537	44	S	no	no	-0.144407
Ind538	44	S	no	no	-0.541686
Ind539	44	S	no	no	0.611853
Ind540	45	I	no	14.338	0.511846
Ind541	45	I	no	2.29225	-0.285031
Ind542	45	S	3.83053	4.43129	0.321494
Ind543	45	S	no	no	0.437041
Ind544	45	S	no	no	-0.0926535
Ind545	45	S	no	no	0.0283227
Ind546	45	S	11.9581	16.5438	-0.00301717
Ind547	45	S	no	no	-0.123064
Ind548	45	S	no	no	-1.89177
Ind549	45	S	no	no	0.86639
Ind550	46	I	no	18.9007	-1.37116
Ind551	46	I	no	3.42093	-0.39728
Ind552	46	S	3.27529	4.25273	-0.243138
Ind553	46	S	1.74074	2.00137	0.672487
Ind554	46	S	0.890861	7.0766	1.79797
Ind555	46	S	1.65804	2.32875	1.02099
Ind556	46	S	3.03789	4.62244	-0.157712
Ind557	46	S	0.259064	2.16331	1.08321
Ind558	46	S	19.5295	26.2727	-1.14087
Ind559	46	S	17.1789	24.8422	-0.504192
Ind560	47	I	no	3.96734	1.63175
Ind561	47	I	no	5.48088	0.017374
Ind562	47	S	0.618139	23.6379	2.61748
Ind563	47	S	1.6988	4.67359	-0.137237
Ind564	47	S	no	no	-0.966277
Ind565	47	S	no	no	-0.23387
Ind566	47	S	no	no	-1.22559
Ind567	47	S	4.48677	6.5467	-0.324212
Ind568	47	S	2.84398	4.40434	0.211928
Ind569	47	S	no	no	0.235849
Ind570	48	I	no	10.6054	1.1537
Ind571	48	I	no	3.00511	-0.325165
Ind572	48	S	1.75147	2.36904	-0.812246
Ind573	48	S	no	no	-0.5553
Ind574	48	S	0.551093	2.93655	1.38769
Ind575	48	S	0.0743388	6.67259	2.2774
Ind576	48	S	9.95169	10.633	0.370374
Ind577	48	S	no	no	-0.0756316
Ind578	48	S	0.0417131	12.1235	0.918564
Ind579	48	S	no	no	-0.0553588
Ind580	49	I	no	15.5392	-0.62923
Ind581	49	I	no	3.92057	0.377723
Ind582	49	S	15.1946	31.1186	-0.303013
Ind583	49	S	6.07532	11.4047	-1.75499
Ind584	49	S	no	no	-1.10568
Ind585	49	S	19.2711	26.4979	0.180972
Ind586	49	S	13.3595	28.6439	-0.301431
Ind587	49	S	2.4022	9.63706	-0.110771
Ind588	49	S	no	no	-1.01687
Ind589	49	S	0.308572	4.69026	0.895224
Ind590	50	I	no	0.064358	0.892809
Ind591	50	I	no	13.2871	1.32639
Ind592	50	S	11.5535	12.6938	0.1491
Ind593	50	S	1.84611	9.21495	1.45784
Ind594	50	S	no	no	-2.41132
Ind595	50	S	1.2211	4.23313	0.563364
Ind596	50	S	11.8505	14.9891	-0.65248
Ind597	50	S	1.1672	13.2569	1.39954
Ind598	50	S	10.8584	27.3263	-0.863182
Ind599	50	S	no	no	0.73296
Ind600	51	I	no	1.97212	0.361883
Ind601	51	I	no	5.28911	-0.381195
Ind602	51	S	2.90083	8.65239	0.0866343
Ind603	51	S	3.53739	22.2942	1.18668
Ind604	51	S	no	no	-0.384203
Ind605	51	S	1.37551	2.71427	1.25601
Ind606	51	S	15.8177	20.0306	-0.0537595
Ind607	51	S	no	no	-0.649209
Ind608	51	S	1.31502	1.84504	1.32454
Ind609	51	S	no	no	-0.758797
Ind610	52	I	no	0.355571	-1.30485
Ind611	52	I	no	19.0868	0.562688
Ind612	52	S	15.631	19.4783	-0.739118
Ind613	52	S	24.0128	24.9338	1.03763
Ind614	52	S	no	no	0.569032
Ind615	52	S	5.828	10.7457	0.480098
Ind616	52	S	15.8367	33.4495	0.10989
Ind617	52	S	7.5265	13.6364	-0.435802
Ind618	52	S	no	no	-1.68783
Ind619	52	S	8.77983	16.3966	0.469065
Ind620	53	I	no	2.5268	-0.713103
Ind621	53	I	no	0.580148	0.664016
Ind622	53	S	10.75	20.1726	-0.119871
Ind623	53	S	no	no	-1.36044
