ID	Group	Init. Comp.	It	Rt	g_a	f_a	r_a
Ind83	NA	NA	NA	NA	0.412382	-0.297845	1.13605
Ind84	NA	NA	NA	NA	0.503258	-2.38891	-0.998332
Ind85	NA	NA	NA	NA	0.57855	-0.638961	-1.56419
Ind86	NA	NA	NA	NA	-1.32023	-0.31354	-0.769466
Ind87	NA	NA	NA	NA	0.671355	2.44942	2.02376
Ind88	NA	NA	NA	NA	1.65295	0.893124	0.66534
Ind89	NA	NA	NA	NA	0.571398	1.49951	-0.0663141
Ind90	NA	NA	NA	NA	-0.532134	-0.798809	0.437313
Ind91	NA	NA	NA	NA	-0.193414	-0.707411	0.730319
Ind92	NA	NA	NA	NA	-0.902523	-0.496406	0.0638159
Ind93	NA	NA	NA	NA	0.181035	-1.35136	-0.862581
Ind94	NA	NA	NA	NA	-2.73596	0.523952	0.483268
Ind95	NA	NA	NA	NA	0.530369	0.820385	0.113051
Ind96	NA	NA	NA	NA	2.00429	0.73488	-0.523283
Ind97	NA	NA	NA	NA	0.385642	-0.296876	-0.719359
Ind98	NA	NA	NA	NA	0.431112	-0.695551	-0.286517
Ind99	NA	NA	NA	NA	-1.38509	-0.311196	0.948523
Ind100	1	I	no	51.1037	-1.17764	-1.43495	1.39347
Ind101	1	I	no	9.46206	0.627402	-0.119939	0.110776
Ind102	1	S	8.37546	9.09692	-0.9101	0.105168	0.0821127
Ind103	1	S	3.08406	48.8231	2.20823	1.22606	0.163998
Ind104	1	S	6.21229	22.5118	1.03852	0.749674	-0.48281
Ind105	1	S	no	no	0.351736	-0.229573	-0.598518
Ind106	1	S	no	no	0.379716	-0.874775	1.02147
Ind107	1	S	no	no	0.994327	0.295614	-0.78719
Ind108	1	S	8.4523	11.0543	1.24093	-0.993894	-1.89113
Ind109	1	S	2.75337	46.0315	-0.489459	1.85258	0.362025
Ind110	2	I	no	1.58852	0.330618	0.758155	-1.06871
Ind111	2	I	no	8.77577	0.297516	0.812745	-0.635225
Ind112	2	S	1.58675	5.14964	0.159628	-0.700887	-0.375767
Ind113	2	S	no	no	0.437089	-0.934491	-0.436279
Ind114	2	S	no	no	1.4841	-0.202728	-1.28265
Ind115	2	S	no	no	-0.433293	0.220595	0.671506
Ind116	2	S	no	no	0.225278	-0.334226	0.384715
Ind117	2	S	no	no	-1.379	0.274285	0.0328827
Ind118	2	S	no	no	-1.69829	0.124659	1.02105
Ind119	2	S	no	no	-0.364185	1.76974	-0.574496
Ind120	3	I	no	1.31454	-0.616806	-1.06962	-0.130185
Ind121	3	I	no	2.17911	1.02949	0.711769	0.615891
Ind122	3	S	no	no	-0.358263	-0.468052	0.857493
Ind123	3	S	no	no	-0.527626	0.2484	-1.02752
Ind124	3	S	no	no	-0.204401	0.124277	-0.34894
Ind125	3	S	no	no	-0.0848619	0.487705	-0.580523
Ind126	3	S	no	no	0.562929	-0.756638	-0.00370458
Ind127	3	S	no	no	-0.851376	-1.5781	0.600186
Ind128	3	S	no	no	-1.00454	-0.19413	0.692968
Ind129	3	S	no	no	-1.14081	-1.39796	-0.122218
Ind130	4	I	no	13.2135	-1.08698	-0.726478	0.616675
Ind131	4	I	no	300.037	-1.64395	-2.29922	0.897011
Ind132	4	S	11.4511	24.1691	0.728397	0.706044	-0.370765
Ind133	4	S	16.7678	22.874	1.71662	-0.849291	-1.41182
Ind134	4	S	7.68388	16.008	0.759414	1.61467	1.33891
Ind135	4	S	no	no	-2.05307	-0.917632	0.312183
Ind136	4	S	no	no	-0.925863	-0.719094	-0.795883
Ind137	4	S	no	no	1.44108	0.625759	1.57668
Ind138	4	S	12.0959	30.7275	-1.16567	1.12886	1.22696
Ind139	4	S	no	no	0.32168	-0.273205	0.635956
Ind140	5	I	no	17.3114	0.228926	2.14204	0.360383
Ind141	5	I	no	51.6674	-1.27669	-0.173567	0.393564
Ind142	5	S	4.09916	10.5236	0.876774	-0.484411	0.176347
Ind143	5	S	no	no	-2.16125	-0.660941	0.0625916
Ind144	5	S	no	no	-0.50177	-1.03949	-0.534745
Ind145	5	S	no	no	0.58487	1.22221	-0.208943
Ind146	5	S	no	no	-0.14393	-0.688821	-0.0196821
Ind147	5	S	no	no	-0.642062	-1.86433	0.480592
Ind148	5	S	no	no	-2.58285	-2.60721	0.0342919
Ind149	5	S	no	no	-1.09545	-1.21281	0.190325
Ind150	6	I	no	8.03061	0.54169	2.32843	-0.375633
Ind151	6	I	no	5.7065	0.0153934	0.23219	0.494458
Ind152	6	S	no	no	0.0231431	-0.765062	1.13318
Ind153	6	S	no	no	-0.264336	-0.679564	-0.267564
Ind154	6	S	4.32665	21.8557	0.447615	0.46965	0.233393
Ind155	6	S	no	no	-0.792057	-0.810978	-0.0766651
Ind156	6	S	no	no	-0.710999	0.305214	-0.487474
Ind157	6	S	no	no	0.847739	-0.643611	-0.47886
Ind158	6	S	no	no	-0.0480194	-1.70653	-1.00869
Ind159	6	S	no	no	-2.74565	-1.10201	1.01451
Ind160	7	I	no	0.307392	0.179591	-1.43812	-1.11477
Ind161	7	I	no	10.893	-0.132804	-0.375443	-0.346306
Ind162	7	S	no	no	0.443191	0.39185	0.688081
Ind163	7	S	no	no	0.830346	-0.513617	-0.0940819
Ind164	7	S	5.92778	7.34512	0.0831625	2.32734	-0.0641112
Ind165	7	S	no	no	-1.22483	-0.950129	1.03372
Ind166	7	S	no	no	0.861619	0.344287	-1.02095
Ind167	7	S	no	no	-0.457118	0.121166	-0.17311
Ind168	7	S	no	no	-4.10258	-0.3635	0.407154
Ind169	7	S	no	no	-0.583802	-0.899435	0.563516
Ind170	8	I	no	15.2209	-1.2537	-1.66263	0.0767755
Ind171	8	I	no	119.343	-0.317118	0.609363	0.581053
Ind172	8	S	no	no	0.0878013	0.681705	-0.470607
Ind173	8	S	no	no	0.432356	-1.11481	-1.00093
Ind174	8	S	no	no	-1.34209	-1.49207	0.820166
Ind175	8	S	no	no	-0.75711	-1.21182	0.120887
Ind176	8	S	no	no	0.00963044	0.540533	-0.551705
Ind177	8	S	no	no	-0.152024	-1.35909	-0.000270551
Ind178	8	S	no	no	0.50903	1.63813	0.439182
Ind179	8	S	63.5972	66.1376	-2.42401	-1.86938	-0.273593
Ind180	9	I	no	2.08575	1.59062	0.840893	-1.11977
Ind181	9	I	no	1.43475	-0.890357	0.820699	-0.655198
Ind182	9	S	no	no	1.30645	-0.558956	-1.44533
Ind183	9	S	no	no	-1.12515	-0.0684267	-0.465328
Ind184	9	S	no	no	0.462331	1.16293	-0.796298
Ind185	9	S	no	no	-0.1226	0.575547	-0.551989
Ind186	9	S	no	no	-1.49416	0.0362908	0.295998
Ind187	9	S	no	no	0.675922	-0.57344	-0.147287
Ind188	9	S	no	no	-0.463837	-0.396571	0.113727
Ind189	9	S	no	no	-2.48984	-1.34565	-0.845485
Ind190	10	I	no	12.488	0.588477	-1.13434	1.06177
Ind191	10	I	no	16.6111	-0.73527	2.44104	0.523134
Ind192	10	S	0.0560241	12.616	2.08244	2.02638	0.11973
Ind193	10	S	no	no	-0.485256	-0.0628532	0.62299
Ind194	10	S	2.2474	13.3773	-0.134191	0.439725	0.413362
Ind195	10	S	0.82359	50.8971	-0.00141109	-0.314537	1.71819
Ind196	10	S	no	no	-0.273475	-1.05773	0.893098
Ind197	10	S	no	no	-1.40258	-0.262641	0.530972
Ind198	10	S	0.322732	5.05322	-0.89246	1.42363	0.164945
Ind199	10	S	0.81699	13.1078	0.0226585	-0.248892	0.252515
Ind200	11	I	no	19.0385	-0.488916	-0.0942304	-0.189787
Ind201	11	I	no	3.73068	-1.32315	1.5969	-0.520862
Ind202	11	S	10.7056	12.3193	-0.325382	-0.837545	-0.127356
Ind203	11	S	no	no	1.25989	0.391206	-1.0477
Ind204	11	S	0.27607	11.7891	1.63636	1.61985	-0.333314
Ind205	11	S	20.0547	26.2611	-0.497689	0.467026	0.507202
Ind206	11	S	2.89633	14.7141	0.346766	0.234693	0.0306992
Ind207	11	S	9.36635	30.0084	1.68201	-0.389811	-0.362476
Ind208	11	S	14.2321	15.7124	0.698846	1.13493	0.0697283
Ind209	11	S	10.1072	16.4987	-2.04399	-0.850803	-0.193349
Ind210	12	I	no	60.8788	-0.396695	-0.0517704	0.858387
Ind211	12	I	no	23.5357	-0.338936	-0.280568	0.848527
Ind212	12	S	no	no	1.51864	1.03971	0.833359
Ind213	12	S	28.3576	32.9715	-0.46709	-0.840795	-0.70622
Ind214	12	S	no	no	-0.398234	0.518371	0.377693
Ind215	12	S	no	no	-0.574172	-1.86841	-0.894916
Ind216	12	S	no	no	2.65685	-0.172725	-1.17885
Ind217	12	S	no	no	-0.439404	-0.278376	-0.139075
Ind218	12	S	no	no	-1.14423	-0.0916718	0.16335
Ind219	12	S	0.852462	18.584	-0.358615	1.27759	0.279192
Ind220	13	I	no	1.22641	-1.18922	1.20551	0.134576
Ind221	13	I	no	1.97245	1.41581	0.715444	-0.0218014
Ind222	13	S	1.34996	3.56227	2.18587	0.0349302	0.192982
Ind223	13	S	0.33933	76.4205	1.20806	1.69928	-0.368663
Ind224	13	S	31.4375	51.634	-0.369398	0.121439	0.457127
Ind225	13	S	no	no	-0.153858	0.414525	0.251339
Ind226	13	S	40.6922	49.6619	1.80035	1.06609	0.672974
Ind227	13	S	0.259845	10.0776	-2.09239	-1.01832	1.43674
Ind228	13	S	2.82176	18.8246	0.266164	0.181908	0.356216
Ind229	13	S	14.1216	14.415	1.0409	-1.31853	-1.29017
Ind230	14	I	no	1.5135	-0.454309	-0.43326	-0.521936
Ind231	14	I	no	6.42192	-1.39186	0.524427	-0.112402
Ind232	14	S	no	no	0.244076	0.940073	-0.389964
Ind233	14	S	no	no	0.163775	-0.304852	-0.186796
Ind234	14	S	no	no	-1.34897	-2.13742	-0.33743
Ind235	14	S	no	no	0.91093	0.707422	-0.404958
Ind236	14	S	no	no	0.901127	0.20379	-1.19432
Ind237	14	S	no	no	3.33637	1.9094	-0.575918
Ind238	14	S	no	no	0.206724	-1.13177	-0.326726
Ind239	14	S	no	no	-0.168391	0.107862	-0.497757
Ind240	15	I	no	1.61078	1.05518	0.811275	-0.683147
Ind241	15	I	no	3.55963	-0.91872	-0.91247	0.0233337
Ind242	15	S	no	no	-0.241019	-0.828265	-0.275321
Ind243	15	S	no	no	-0.607036	-1.19625	-0.0942991
Ind244	15	S	no	no	-1.28805	-1.15197	0.17278
Ind245	15	S	no	no	1.92065	0.314201	0.898803
Ind246	15	S	no	no	0.595145	0.408838	-0.811859
Ind247	15	S	no	no	-0.428015	-0.494928	0.533854
Ind248	15	S	no	no	1.70097	-1.36945	-0.594553
Ind249	15	S	no	no	-0.747909	0.985238	-0.240778
Ind250	16	I	no	49.2063	0.499628	1.21863	0.949166
Ind251	16	I	no	27.6881	-0.0934024	0.224923	1.21185
Ind252	16	S	0.643382	11.8233	-0.0795389	0.476213	0.636194
Ind253	16	S	13.7095	15.0597	-0.779782	-0.351028	-1.09034
Ind254	16	S	3.74243	19.4247	1.03361	0.131914	-0.21166
Ind255	16	S	11.2527	13.0251	1.58016	0.661866	-0.115184
Ind256	16	S	4.53265	11.1734	-1.82105	-1.80937	0.116697
Ind257	16	S	21.1523	27.1642	1.56889	0.33143	0.277253
Ind258	16	S	7.56088	15.7308	-0.313274	-1.9637	-0.740081
Ind259	16	S	6.97984	11.7012	-0.306011	0.735684	0.937384
Ind260	17	I	no	10.6522	0.562147	-0.422141	-0.69352
Ind261	17	I	no	12.0292	-2.37621	0.730687	1.29639
Ind262	17	S	no	no	0.921861	0.878247	-0.147081
Ind263	17	S	no	no	0.680977	0.447765	0.0135876
Ind264	17	S	no	no	-1.04655	-1.68949	-0.242689
Ind265	17	S	no	no	-1.5345	-0.436177	-0.544147
Ind266	17	S	no	no	-1.1766	0.155095	-0.0318671
Ind267	17	S	no	no	-1.88161	-1.37411	0.881565
Ind268	17	S	no	no	-1.37091	0.369862	0.95383
Ind269	17	S	no	no	0.65869	-0.735481	-0.519616
Ind270	18	I	no	0.51051	1.23877	0.927443	-0.378809
Ind271	18	I	no	4.19842	-1.80221	-1.45478	-0.218386
Ind272	18	S	no	no	0.604855	0.279205	-0.187224
Ind273	18	S	no	no	-0.975671	1.0686	-0.379357
Ind274	18	S	no	no	0.427302	0.372377	-0.744048
Ind275	18	S	no	no	-0.244791	-0.378394	-0.48664
Ind276	18	S	no	no	-0.0183078	0.739645	0.31771
Ind277	18	S	no	no	2.94837	-1.03353	-1.18504
Ind278	18	S	no	no	-0.110469	0.831329	-0.92131
Ind279	18	S	no	no	0.675062	-1.1288	-0.425473
Ind280	19	I	no	5.46034	-0.0866772	-0.748931	-0.0735939
Ind281	19	I	no	3.68985	-1.15932	0.643491	0.474721
Ind282	19	S	no	no	-0.653048	-1.54366	-1.2885
Ind283	19	S	0.243712	2.95906	0.205996	1.31459	-0.341257
Ind284	19	S	no	no	-1.86622	-1.34851	0.6879
Ind285	19	S	no	no	1.15497	0.105999	0.15925
Ind286	19	S	no	no	0.604447	0.728814	-0.270296
Ind287	19	S	no	no	-1.53862	-2.02711	0.109327
Ind288	19	S	no	no	-0.309915	0.395448	-0.0554125
Ind289	19	S	no	no	-0.40786	-0.583706	0.093396
Ind290	20	I	no	1.78734	-0.18358	1.84289	-0.414979
Ind291	20	I	no	4.52732	-0.839054	-0.334871	-0.0766227
Ind292	20	S	1.61253	2.63127	1.80672	1.54359	-1.28926
Ind293	20	S	1.68204	5.4775	1.40987	1.08994	0.0224982
Ind294	20	S	no	no	-1.51353	-0.34716	-0.561876
Ind295	20	S	no	no	1.61863	-0.0385924	-0.520058
Ind296	20	S	1.93701	2.38772	0.512323	-0.101997	-1.00485
Ind297	20	S	1.92909	8.1498	-0.375846	-0.456189	1.01002
Ind298	20	S	no	no	0.306266	-0.26169	-0.620957
Ind299	20	S	1.898	3.61118	1.11229	1.10812	-1.07237
Ind300	21	I	no	6.13472	0.0738162	-1.29438	-0.881186
Ind301	21	I	no	1.72904	1.52907	2.09696	-0.202248
Ind302	21	S	1.30585	5.10213	0.104643	0.216202	-0.330298
Ind303	21	S	no	no	-0.304214	-0.488431	0.839661
Ind304	21	S	no	no	-1.90749	-1.37	0.753842
Ind305	21	S	no	no	1.67266	0.03538	-0.0532371
Ind306	21	S	no	no	1.4959	0.878412	-0.853257
Ind307	21	S	0.261852	0.8699	0.520645	0.375995	-0.827506
Ind308	21	S	no	no	-0.697752	-0.0577774	-0.537759
Ind309	21	S	1.25612	3.64461	0.843808	2.35695	0.328514
Ind310	22	I	no	17.772	1.32095	0.678831	0.347498
Ind311	22	I	no	6.71708	-0.248052	-0.422486	0.489526
Ind312	22	S	6.09406	8.96977	1.83742	0.821	-0.268435
Ind313	22	S	no	no	-2.50022	-1.23539	0.50653
Ind314	22	S	no	no	-0.427793	1.15984	1.14068
Ind315	22	S	5.34678	13.3991	0.798595	2.06472	0.745681
Ind316	22	S	7.74764	62.1989	0.306393	0.261614	0.987365
Ind317	22	S	no	no	1.7188	-0.6438	-0.191636
Ind318	22	S	no	no	1.65018	-0.624088	-0.272862
Ind319	22	S	no	no	0.228693	-0.467253	-0.245092
Ind320	23	I	no	227.744	-1.46869	0.558205	0.201219
Ind321	23	I	no	1.58604	0.57093	-0.0584423	0.046247
Ind322	23	S	no	no	1.72453	0.715693	-0.267524
Ind323	23	S	no	no	-0.921477	0.136756	-0.415388
Ind324	23	S	no	no	0.928115	-0.255501	0.0895949
Ind325	23	S	no	no	-2.099	-1.09319	-0.0405321
Ind326	23	S	no	no	0.546521	0.776047	0.932848
Ind327	23	S	49.1594	55.0791	-1.18724	0.595888	0.876078
Ind328	23	S	no	no	0.59059	-0.642257	1.01115
Ind329	23	S	no	no	0.0273986	1.89994	-0.707095
Ind330	24	I	no	3.00893	0.368508	-0.440927	0.0581651
Ind331	24	I	no	6.72743	-1.06063	0.6452	-0.0784748
Ind332	24	S	no	no	-0.86828	0.472433	0.298053
Ind333	24	S	no	no	0.747685	0.147489	0.689046
Ind334	24	S	no	no	0.750109	-0.565962	0.210562
Ind335	24	S	no	no	-0.28013	-0.247637	0.942949
Ind336	24	S	no	no	0.510121	0.00870906	-0.714393
Ind337	24	S	no	no	-0.544181	0.835663	0.352345
Ind338	24	S	no	no	0.539803	-0.731164	-0.461566
Ind339	24	S	no	no	0.0208953	0.857561	0.305203
Ind340	25	I	no	25.237	-0.599662	1.01593	0.320374
Ind341	25	I	no	2.97065	0.795583	0.343891	0.00373534
Ind342	25	S	no	no	-1.63422	-1.1259	0.636907
Ind343	25	S	no	no	-0.278455	0.771891	0.506424
Ind344	25	S	no	no	0.970918	1.70605	0.474818
Ind345	25	S	no	no	0.777206	-0.463245	-0.928887
Ind346	25	S	no	no	1.67118	0.264724	-0.142308
Ind347	25	S	no	no	-0.633895	-0.012737	-0.238232
Ind348	25	S	no	no	0.631424	-0.413449	0.455643
Ind349	25	S	no	no	0.852112	-0.405284	-1.45931
Ind350	26	I	no	12.2715	0.137403	0.0645468	-0.449695
Ind351	26	I	no	34.271	0.203134	0.672382	0.824992
Ind352	26	S	6.98077	8.73925	0.762083	0.308122	0.157357
Ind353	26	S	no	no	-1.38816	1.0646	-0.253201
Ind354	26	S	no	no	1.9212	0.273972	-0.491923
Ind355	26	S	no	no	-0.846392	-0.615627	-0.56454
Ind356	26	S	no	no	-0.77957	0.412415	-0.0442641
Ind357	26	S	no	no	0.792194	2.51891	-0.225961
Ind358	26	S	no	no	0.78771	1.57204	-0.0975592
Ind359	26	S	no	no	-1.64093	-1.14023	0.940245
Ind360	27	I	no	103.984	-2.01776	1.87063	1.1101
Ind361	27	I	no	12.4205	0.257437	0.302801	-0.946441
Ind362	27	S	no	no	-0.0399883	0.103814	2.22251
Ind363	27	S	5.60135	8.9975	-1.08046	-0.926248	-0.203754
Ind364	27	S	4.99354	282.01	0.348988	1.71839	2.20202
Ind365	27	S	no	no	-0.134015	-0.365834	0.206207
Ind366	27	S	161.915	162.961	0.82665	0.893334	-0.863646
Ind367	27	S	3.20937	5.29084	-1.01388	-1.91531	0.0384131
Ind368	27	S	1.38852	2.97758	-0.486715	1.35141	-0.403101
Ind369	27	S	2.27848	59.909	-1.08138	2.40974	0.381331
Ind370	28	I	no	3.81215	0.931921	-0.194848	-0.915947
Ind371	28	I	no	3.35518	1.15084	-0.655159	-0.991513
Ind372	28	S	1.7121	10.351	0.962205	1.27711	-0.437693
Ind373	28	S	no	no	0.990525	0.804597	-0.30454
Ind374	28	S	no	no	-0.653643	-1.03306	-0.665098
Ind375	28	S	34.7627	39.0832	1.17321	-0.068463	-0.148039
Ind376	28	S	0.0546257	37.1999	1.06585	2.52727	1.12576
Ind377	28	S	no	no	-2.24428	-1.68442	0.661206
Ind378	28	S	no	no	-0.304786	-0.974585	0.28499
Ind379	28	S	no	no	-2.62151	0.387968	1.24612
Ind380	29	I	no	1.72328	-2.30941	-1.62253	-0.424098
Ind381	29	I	no	14.3713	-1.08278	0.446042	0.630208
Ind382	29	S	no	no	-0.239266	-0.77914	1.10016
Ind383	29	S	no	no	-0.160845	-1.28759	0.0498494
Ind384	29	S	no	no	0.429004	-0.529081	-0.468013
Ind385	29	S	no	no	-0.355817	-1.27489	-0.827842
Ind386	29	S	no	no	-0.301538	0.441573	-1.2715
Ind387	29	S	no	no	-1.80258	-0.213217	0.324381
Ind388	29	S	no	no	-0.366825	-0.0251152	-0.637187
Ind389	29	S	no	no	1.05647	1.02706	0.707765
Ind390	30	I	no	2.8468	-0.90803	-0.619087	-1.06932
Ind391	30	I	no	30.8629	-1.81663	-0.296563	0.0185727
Ind392	30	S	15.6298	23.1772	0.710301	0.478597	0.951129
Ind393	30	S	42.0531	42.6679	1.58745	0.208967	-1.22079
Ind394	30	S	no	no	-1.79218	-1.60729	0.220018
Ind395	30	S	no	no	-0.516276	0.525033	0.399958
Ind396	30	S	15.0717	43.0929	0.406725	1.36423	0.505804
Ind397	30	S	12.9774	21.2083	0.888071	0.252872	-0.21102
Ind398	30	S	14.6626	17.4892	0.346352	-0.66437	-0.315425
Ind399	30	S	13.5029	23.6741	2.30306	1.77206	0.429138
Ind400	31	I	no	37.2873	0.635168	1.04728	-0.125016
Ind401	31	I	no	19.8495	-0.768389	-0.861773	0.833171
Ind402	31	S	no	no	0.848672	0.293764	-1.20173
Ind403	31	S	no	no	1.05018	0.289867	-0.620295
Ind404	31	S	no	no	-0.275395	-1.61718	0.135817
Ind405	31	S	no	no	-0.245161	0.160729	-0.616905
Ind406	31	S	31.673	54.398	-1.03481	1.28421	0.874793
Ind407	31	S	36.9721	54.3792	-1.15298	-0.0348729	0.421124
Ind408	31	S	no	no	0.138648	1.2571	0.279412
Ind409	31	S	26.2969	43.0882	-0.983727	0.169735	-0.507492
Ind410	32	I	no	5.0544	0.498365	0.91198	0.333607
Ind411	32	I	no	1.2248	-0.328468	0.444006	-1.31771
Ind412	32	S	no	no	1.03967	-0.532837	0.307879
Ind413	32	S	no	no	-1.62425	0.581728	0.695209
Ind414	32	S	no	no	1.82086	-0.580601	-1.13166
Ind415	32	S	no	no	-0.20361	0.394953	-0.722564
Ind416	32	S	no	no	0.60983	0.413894	-0.946808
Ind417	32	S	no	no	-1.7247	-1.77898	0.134049
Ind418	32	S	no	no	-1.10548	-0.886165	0.287735
Ind419	32	S	no	no	-0.726736	-0.219976	-0.127751
Ind420	33	I	no	66.2514	-1.16589	0.557422	1.06999
Ind421	33	I	no	17.386	1.22484	0.640776	0.255931
Ind422	33	S	no	no	-1.74111	-0.94762	-0.0254188
Ind423	33	S	no	no	1.9513	-0.164774	-0.773447
Ind424	33	S	7.2523	10.8471	1.66599	0.594325	-0.664284
Ind425	33	S	1.87411	8.10303	0.131683	0.947285	0.698456
Ind426	33	S	no	no	0.964393	-1.16128	-0.106713
Ind427	33	S	2.64004	37.3932	0.416773	-0.85275	0.828386
Ind428	33	S	3.24735	10.0582	0.0466996	0.441175	0.761116
Ind429	33	S	0.609542	4.64746	-0.203118	0.216338	-1.13858
Ind430	34	I	no	5.29859	-0.316022	0.966632	-0.852119
Ind431	34	I	no	4.40588	-1.7108	-0.233256	0.259791
Ind432	34	S	no	no	0.553409	0.496516	-0.00928566
