ID	Parent 1	Parent 2
Ind150	Ind37	.
Ind151	Ind92	.
Ind152	Ind73	.
Ind153	Ind13	.
Ind154	Ind12	.
Ind155	Ind47	.
Ind156	Ind30	.
Ind157	Ind84	.
Ind158	Ind11	.
Ind159	Ind8	.
Ind160	Ind22	.
Ind161	Ind49	.
Ind162	Ind87	.
Ind163	Ind19	.
Ind164	Ind82	.
Ind165	Ind23	.
Ind166	Ind5	.
Ind167	Ind15	.
Ind168	Ind39	.
Ind169	Ind82	.
Ind170	Ind70	.
Ind171	Ind98	.
Ind172	Ind2	.
Ind173	Ind68	.
Ind174	Ind78	.
Ind175	Ind13	.
Ind176	Ind51	.
Ind177	Ind71	.
Ind178	Ind24	.
Ind179	Ind14	.
Ind180	Ind6	.
Ind181	Ind61	.
Ind182	Ind7	.
Ind183	Ind79	.
Ind184	Ind75	.
Ind185	Ind20	.
Ind186	Ind27	.
Ind187	Ind5	.
Ind188	Ind4	.
Ind189	Ind39	.
Ind190	Ind13	.
Ind191	Ind27	.
Ind192	Ind88	.
Ind193	Ind1	.
Ind194	Ind46	.
Ind195	Ind70	.
Ind196	Ind25	.
Ind197	Ind52	.
Ind198	Ind86	.
Ind199	Ind64	.
Ind200	Ind35	.
Ind201	Ind57	.
Ind202	Ind62	.
Ind203	Ind37	.
Ind204	Ind26	.
Ind205	Ind41	.
Ind206	Ind50	.
Ind207	Ind77	.
Ind208	Ind13	.
Ind209	Ind74	.
Ind210	Ind92	.
Ind211	Ind19	.
Ind212	Ind37	.
Ind213	Ind0	.
Ind214	Ind99	.
Ind215	Ind12	.
Ind216	Ind20	.
Ind217	Ind27	.
Ind218	Ind18	.
Ind219	Ind24	.
Ind220	Ind65	.
Ind221	Ind31	.
Ind222	Ind51	.
Ind223	Ind54	.
Ind224	Ind33	.
Ind225	Ind97	.
Ind226	Ind26	.
Ind227	Ind58	.
Ind228	Ind50	.
Ind229	Ind12	.
Ind230	Ind22	.
Ind231	Ind85	.
Ind232	Ind70	.
Ind233	Ind84	.
Ind234	Ind22	.
Ind235	Ind96	.
Ind236	Ind26	.
Ind237	Ind72	.
Ind238	Ind73	.
Ind239	Ind39	.
Ind240	Ind48	.
Ind241	Ind66	.
Ind242	Ind58	.
Ind243	Ind84	.
Ind244	Ind66	.
Ind245	Ind57	.
Ind246	Ind97	.
Ind247	Ind86	.
Ind248	Ind84	.
Ind249	Ind15	.
Ind250	Ind10	.
Ind251	Ind50	.
Ind252	Ind46	.
Ind253	Ind62	.
Ind254	Ind5	.
Ind255	Ind80	.
Ind256	Ind60	.
Ind257	Ind31	.
Ind258	Ind38	.
Ind259	Ind10	.
Ind260	Ind43	.
Ind261	Ind61	.
Ind262	Ind95	.
Ind263	Ind13	.
Ind264	Ind45	.
Ind265	Ind18	.
Ind266	Ind9	.
Ind267	Ind71	.
Ind268	Ind90	.
Ind269	Ind84	.
Ind270	Ind10	.
Ind271	Ind39	.
Ind272	Ind50	.
Ind273	Ind68	.
Ind274	Ind23	.
Ind275	Ind17	.
Ind276	Ind27	.
Ind277	Ind21	.
Ind278	Ind3	.
Ind279	Ind11	.
Ind280	Ind36	.
Ind281	Ind14	.
Ind282	Ind62	.
Ind283	Ind82	.
Ind284	Ind76	.
Ind285	Ind67	.
Ind286	Ind62	.
Ind287	Ind37	.
Ind288	Ind97	.
Ind289	Ind1	.
Ind290	Ind47	.
Ind291	Ind41	.
Ind292	Ind62	.
Ind293	Ind43	.
Ind294	Ind54	.
Ind295	Ind7	.
Ind296	Ind61	.
Ind297	Ind64	.
Ind298	Ind79	.
Ind299	Ind52	.
Ind300	Ind48	.
Ind301	Ind89	.
Ind302	Ind90	.
Ind303	Ind99	.
Ind304	Ind58	.
Ind305	Ind14	.
Ind306	Ind16	.
Ind307	Ind85	.
Ind308	Ind35	.
Ind309	Ind20	.
Ind310	Ind96	.
Ind311	Ind71	.
Ind312	Ind34	.
Ind313	Ind58	.
Ind314	Ind54	.
Ind315	Ind10	.
Ind316	Ind25	.
Ind317	Ind16	.
Ind318	Ind48	.
Ind319	Ind23	.
Ind320	Ind18	.
Ind321	Ind95	.
Ind322	Ind64	.
Ind323	Ind80	.
Ind324	Ind38	.
Ind325	Ind18	.
Ind326	Ind88	.
Ind327	Ind99	.
Ind328	Ind83	.
Ind329	Ind67	.
Ind330	Ind51	.
Ind331	Ind32	.
Ind332	Ind56	.
Ind333	Ind42	.
Ind334	Ind31	.
Ind335	Ind15	.
Ind336	Ind56	.
Ind337	Ind47	.
Ind338	Ind0	.
Ind339	Ind91	.
Ind340	Ind67	.
Ind341	Ind96	.
Ind342	Ind63	.
Ind343	Ind1	.
Ind344	Ind55	.
Ind345	Ind17	.
Ind346	Ind12	.
Ind347	Ind80	.
Ind348	Ind34	.
Ind349	Ind60	.
Ind350	Ind3	.
Ind351	Ind51	.
Ind352	Ind56	.
Ind353	Ind67	.
Ind354	Ind32	.
Ind355	Ind94	.
Ind356	Ind86	.
Ind357	Ind20	.
Ind358	Ind93	.
Ind359	Ind69	.
Ind360	Ind87	.
Ind361	Ind45	.
Ind362	Ind1	.
Ind363	Ind44	.
Ind364	Ind87	.
Ind365	Ind33	.
Ind366	Ind59	.
Ind367	Ind44	.
Ind368	Ind80	.
Ind369	Ind59	.
Ind370	Ind35	.
Ind371	Ind48	.
Ind372	Ind56	.
Ind373	Ind98	.
Ind374	Ind49	.
Ind375	Ind11	.
Ind376	Ind15	.
Ind377	Ind62	.
Ind378	Ind91	.
Ind379	Ind49	.
Ind380	Ind23	.
Ind381	Ind95	.
Ind382	Ind1	.
Ind383	Ind78	.
Ind384	Ind63	.
Ind385	Ind32	.
Ind386	Ind73	.
Ind387	Ind49	.
Ind388	Ind52	.
Ind389	Ind67	.
Ind390	Ind18	.
Ind391	Ind39	.
Ind392	Ind12	.
Ind393	Ind20	.
Ind394	Ind83	.
Ind395	Ind0	.
Ind396	Ind53	.
Ind397	Ind42	.
Ind398	Ind44	.
Ind399	Ind33	.
Ind400	Ind2	.
Ind401	Ind79	.
Ind402	Ind81	.
Ind403	Ind59	.
Ind404	Ind78	.
Ind405	Ind31	.
Ind406	Ind70	.
Ind407	Ind94	.
Ind408	Ind93	.
Ind409	Ind62	.
Ind410	Ind43	.
Ind411	Ind16	.
Ind412	Ind57	.
Ind413	Ind44	.
Ind414	Ind95	.
Ind415	Ind20	.
Ind416	Ind77	.
Ind417	Ind69	.
Ind418	Ind69	.
Ind419	Ind30	.
Ind420	Ind36	.
Ind421	Ind88	.
Ind422	Ind69	.
Ind423	Ind48	.
Ind424	Ind7	.
Ind425	Ind53	.
Ind426	Ind48	.
Ind427	Ind61	.
Ind428	Ind95	.
Ind429	Ind92	.
Ind430	Ind94	.
Ind431	Ind97	.
Ind432	Ind72	.
Ind433	Ind75	.
Ind434	Ind56	.
Ind435	Ind51	.
Ind436	Ind6	.
Ind437	Ind26	.
Ind438	Ind45	.
Ind439	Ind0	.
Ind440	Ind88	.
Ind441	Ind88	.
Ind442	Ind17	.
Ind443	Ind46	.
Ind444	Ind33	.
Ind445	Ind12	.
Ind446	Ind66	.
Ind447	Ind10	.
Ind448	Ind81	.
Ind449	Ind35	.
Ind450	Ind41	.
Ind451	Ind18	.
Ind452	Ind24	.
Ind453	Ind10	.
Ind454	Ind67	.
Ind455	Ind31	.
Ind456	Ind64	.
Ind457	Ind16	.
Ind458	Ind92	.
Ind459	Ind59	.
Ind460	Ind8	.
Ind461	Ind87	.
Ind462	Ind57	.
Ind463	Ind81	.
Ind464	Ind63	.
Ind465	Ind13	.
Ind466	Ind32	.
Ind467	Ind70	.
Ind468	Ind40	.
Ind469	Ind78	.
Ind470	Ind70	.
Ind471	Ind29	.
Ind472	Ind67	.
Ind473	Ind87	.
Ind474	Ind75	.
Ind475	Ind0	.
Ind476	Ind0	.
Ind477	Ind41	.
Ind478	Ind11	.
Ind479	Ind82	.
Ind480	Ind77	.
Ind481	Ind53	.
Ind482	Ind1	.
Ind483	Ind2	.
Ind484	Ind64	.
Ind485	Ind68	.
Ind486	Ind33	.
Ind487	Ind28	.
Ind488	Ind84	.
Ind489	Ind27	.
Ind490	Ind88	.
Ind491	Ind93	.
Ind492	Ind14	.
Ind493	Ind45	.
Ind494	Ind75	.
Ind495	Ind77	.
Ind496	Ind58	.
Ind497	Ind8	.
Ind498	Ind47	.
Ind499	Ind99	.
Ind500	Ind86	.
Ind501	Ind18	.
Ind502	Ind28	.
Ind503	Ind53	.
Ind504	Ind6	.
Ind505	Ind4	.
Ind506	Ind54	.
Ind507	Ind7	.
Ind508	Ind45	.
Ind509	Ind66	.
Ind510	Ind90	.
Ind511	Ind24	.
Ind512	Ind20	.
Ind513	Ind91	.
Ind514	Ind25	.
Ind515	Ind84	.
Ind516	Ind59	.
Ind517	Ind59	.
Ind518	Ind12	.
Ind519	Ind43	.
Ind520	Ind86	.
Ind521	Ind0	.
Ind522	Ind37	.
Ind523	Ind0	.
Ind524	Ind45	.
Ind525	Ind13	.
Ind526	Ind78	.
Ind527	Ind4	.
Ind528	Ind21	.
Ind529	Ind26	.
Ind530	Ind3	.
Ind531	Ind8	.
Ind532	Ind45	.
Ind533	Ind32	.
Ind534	Ind62	.
Ind535	Ind52	.
Ind536	Ind36	.
Ind537	Ind16	.
Ind538	Ind59	.
Ind539	Ind82	.
Ind540	Ind83	.
Ind541	Ind49	.
Ind542	Ind5	.
Ind543	Ind3	.
Ind544	Ind40	.
Ind545	Ind31	.
Ind546	Ind87	.
Ind547	Ind99	.
Ind548	Ind90	.
Ind549	Ind99	.
Ind550	Ind43	.
Ind551	Ind76	.
Ind552	Ind0	.
Ind553	Ind80	.
Ind554	Ind76	.
Ind555	Ind46	.
Ind556	Ind93	.
Ind557	Ind55	.
Ind558	Ind50	.
Ind559	Ind15	.
Ind560	Ind82	.
Ind561	Ind54	.
Ind562	Ind23	.
Ind563	Ind27	.
Ind564	Ind86	.
Ind565	Ind85	.
Ind566	Ind78	.
Ind567	Ind22	.
Ind568	Ind2	.
Ind569	Ind38	.
Ind570	Ind4	.
Ind571	Ind84	.
Ind572	Ind87	.
Ind573	Ind9	.
Ind574	Ind88	.
Ind575	Ind27	.
Ind576	Ind41	.
Ind577	Ind74	.
Ind578	Ind27	.
Ind579	Ind31	.
Ind580	Ind74	.
Ind581	Ind69	.
Ind582	Ind8	.
Ind583	Ind74	.
Ind584	Ind50	.
Ind585	Ind85	.
Ind586	Ind21	.
Ind587	Ind44	.
Ind588	Ind41	.
Ind589	Ind71	.
Ind590	Ind59	.
Ind591	Ind23	.
Ind592	Ind25	.
Ind593	Ind82	.
Ind594	Ind50	.
Ind595	Ind11	.
Ind596	Ind68	.
Ind597	Ind29	.
Ind598	Ind34	.
Ind599	Ind69	.
Ind600	Ind67	.
Ind601	Ind38	.
Ind602	Ind54	.
Ind603	Ind55	.
Ind604	Ind48	.
Ind605	Ind42	.
Ind606	Ind82	.
Ind607	Ind90	.
Ind608	Ind17	.
Ind609	Ind8	.
Ind610	Ind21	.
Ind611	Ind92	.
Ind612	Ind78	.
Ind613	Ind29	.
Ind614	Ind66	.
Ind615	Ind29	.
Ind616	Ind15	.
Ind617	Ind88	.
Ind618	Ind73	.
Ind619	Ind56	.
Ind620	Ind59	.
Ind621	Ind33	.
Ind622	Ind79	.
Ind623	Ind84	.
Ind624	Ind16	.
Ind625	Ind29	.
Ind626	Ind96	.
Ind627	Ind83	.
Ind628	Ind59	.
Ind629	Ind30	.
Ind630	Ind53	.
Ind631	Ind27	.
Ind632	Ind69	.
Ind633	Ind7	.
Ind634	Ind82	.
Ind635	Ind18	.
Ind636	Ind50	.
Ind637	Ind64	.
Ind638	Ind7	.
Ind639	Ind68	.
Ind640	Ind73	.
Ind641	Ind29	.
Ind642	Ind60	.
Ind643	Ind52	.
Ind644	Ind58	.
Ind645	Ind27	.
Ind646	Ind81	.
Ind647	Ind73	.
Ind648	Ind14	.
Ind649	Ind55	.
Ind650	Ind29	.
Ind651	Ind73	.
Ind652	Ind89	.
Ind653	Ind8	.
Ind654	Ind58	.
Ind655	Ind4	.
Ind656	Ind38	.
Ind657	Ind55	.
Ind658	Ind89	.
Ind659	Ind98	.
Ind660	Ind86	.
Ind661	Ind41	.
Ind662	Ind25	.
Ind663	Ind55	.
Ind664	Ind49	.
Ind665	Ind7	.
Ind666	Ind73	.
Ind667	Ind1	.
Ind668	Ind72	.
Ind669	Ind81	.
Ind670	Ind68	.
Ind671	Ind45	.
Ind672	Ind9	.
Ind673	Ind28	.
Ind674	Ind98	.
Ind675	Ind68	.
Ind676	Ind55	.
Ind677	Ind80	.
Ind678	Ind42	.
Ind679	Ind70	.
Ind680	Ind36	.
Ind681	Ind72	.
Ind682	Ind44	.
Ind683	Ind25	.
Ind684	Ind81	.
Ind685	Ind3	.
Ind686	Ind30	.
Ind687	Ind19	.
Ind688	Ind58	.
Ind689	Ind18	.
Ind690	Ind18	.
Ind691	Ind44	.
Ind692	Ind60	.
Ind693	Ind43	.
Ind694	Ind99	.
Ind695	Ind10	.
Ind696	Ind51	.
Ind697	Ind73	.
Ind698	Ind11	.
Ind699	Ind23	.
Ind700	Ind54	.
Ind701	Ind80	.
Ind702	Ind69	.
Ind703	Ind65	.
Ind704	Ind8	.
Ind705	Ind67	.
Ind706	Ind34	.
Ind707	Ind64	.
Ind708	Ind47	.
Ind709	Ind76	.
Ind710	Ind34	.
Ind711	Ind85	.
Ind712	Ind47	.
Ind713	Ind79	.
Ind714	Ind9	.
Ind715	Ind29	.
Ind716	Ind82	.
Ind717	Ind39	.
Ind718	Ind49	.
Ind719	Ind40	.
Ind720	Ind58	.
Ind721	Ind67	.
Ind722	Ind85	.
Ind723	Ind18	.
Ind724	Ind10	.
Ind725	Ind85	.
Ind726	Ind29	.
Ind727	Ind61	.
Ind728	Ind57	.
Ind729	Ind40	.
Ind730	Ind85	.
Ind731	Ind12	.
Ind732	Ind20	.
Ind733	Ind53	.
Ind734	Ind77	.
Ind735	Ind29	.
Ind736	Ind21	.
Ind737	Ind11	.
Ind738	Ind94	.
Ind739	Ind69	.
Ind740	Ind88	.
Ind741	Ind28	.
Ind742	Ind53	.
Ind743	Ind36	.
Ind744	Ind7	.
Ind745	Ind63	.
Ind746	Ind65	.
Ind747	Ind90	.
Ind748	Ind3	.
Ind749	Ind14	.
Ind750	Ind30	.
Ind751	Ind61	.
Ind752	Ind81	.
Ind753	Ind14	.
Ind754	Ind79	.
Ind755	Ind92	.
Ind756	Ind99	.
Ind757	Ind8	.
Ind758	Ind52	.
Ind759	Ind57	.
Ind760	Ind49	.
Ind761	Ind37	.
Ind762	Ind70	.
Ind763	Ind70	.
Ind764	Ind92	.
Ind765	Ind47	.
Ind766	Ind99	.
Ind767	Ind12	.
Ind768	Ind60	.
Ind769	Ind93	.
Ind770	Ind82	.
Ind771	Ind47	.
Ind772	Ind22	.
Ind773	Ind36	.
Ind774	Ind84	.
Ind775	Ind30	.
Ind776	Ind99	.
Ind777	Ind48	.
Ind778	Ind19	.
Ind779	Ind3	.
Ind780	Ind63	.
Ind781	Ind49	.
Ind782	Ind64	.
Ind783	Ind44	.
Ind784	Ind65	.
Ind785	Ind43	.
Ind786	Ind36	.
Ind787	Ind64	.
Ind788	Ind53	.
Ind789	Ind91	.
Ind790	Ind21	.
Ind791	Ind2	.
Ind792	Ind28	.
Ind793	Ind92	.
Ind794	Ind73	.
Ind795	Ind19	.
Ind796	Ind40	.
Ind797	Ind72	.
Ind798	Ind32	.
Ind799	Ind1	.
Ind800	Ind65	.
Ind801	Ind15	.
Ind802	Ind48	.
Ind803	Ind88	.
Ind804	Ind51	.
Ind805	Ind32	.
Ind806	Ind17	.
Ind807	Ind51	.
Ind808	Ind81	.
Ind809	Ind37	.
Ind810	Ind54	.
Ind811	Ind44	.
Ind812	Ind88	.
Ind813	Ind18	.
Ind814	Ind90	.
Ind815	Ind52	.
Ind816	Ind63	.
Ind817	Ind26	.
Ind818	Ind17	.
Ind819	Ind16	.
Ind820	Ind17	.
Ind821	Ind38	.
Ind822	Ind19	.
Ind823	Ind45	.
Ind824	Ind31	.
Ind825	Ind92	.
Ind826	Ind65	.
Ind827	Ind72	.
Ind828	Ind65	.
Ind829	Ind97	.
Ind830	Ind73	.
Ind831	Ind30	.
Ind832	Ind12	.
Ind833	Ind21	.
Ind834	Ind17	.
Ind835	Ind64	.
Ind836	Ind54	.
Ind837	Ind35	.
Ind838	Ind15	.
Ind839	Ind35	.
Ind840	Ind74	.
Ind841	Ind70	.
Ind842	Ind80	.
Ind843	Ind61	.
Ind844	Ind89	.
Ind845	Ind71	.
Ind846	Ind13	.
Ind847	Ind52	.
Ind848	Ind97	.
Ind849	Ind31	.
Ind850	Ind69	.
Ind851	Ind14	.
Ind852	Ind71	.
Ind853	Ind89	.
Ind854	Ind61	.
Ind855	Ind2	.
Ind856	Ind80	.
Ind857	Ind25	.
Ind858	Ind74	.
Ind859	Ind44	.
Ind860	Ind24	.
Ind861	Ind46	.
Ind862	Ind75	.
Ind863	Ind36	.
Ind864	Ind69	.
Ind865	Ind93	.
Ind866	Ind1	.
Ind867	Ind23	.
Ind868	Ind28	.
Ind869	Ind16	.
Ind870	Ind59	.
Ind871	Ind1	.
Ind872	Ind87	.
Ind873	Ind39	.
Ind874	Ind62	.
Ind875	Ind76	.
Ind876	Ind9	.
Ind877	Ind76	.
Ind878	Ind28	.
Ind879	Ind7	.
Ind880	Ind6	.
Ind881	Ind97	.
Ind882	Ind23	.
Ind883	Ind78	.
Ind884	Ind86	.
Ind885	Ind85	.
Ind886	Ind79	.
Ind887	Ind65	.
Ind888	Ind9	.
Ind889	Ind53	.
Ind890	Ind9	.
Ind891	Ind34	.
Ind892	Ind2	.
Ind893	Ind86	.
Ind894	Ind72	.
Ind895	Ind71	.
Ind896	Ind78	.
Ind897	Ind74	.
Ind898	Ind94	.
Ind899	Ind5	.
Ind900	Ind91	.
Ind901	Ind52	.
Ind902	Ind7	.
Ind903	Ind77	.
Ind904	Ind93	.
Ind905	Ind70	.
Ind906	Ind53	.
Ind907	Ind3	.
Ind908	Ind46	.
Ind909	Ind83	.
Ind910	Ind10	.
Ind911	Ind53	.
Ind912	Ind79	.
Ind913	Ind34	.
Ind914	Ind31	.
Ind915	Ind64	.
Ind916	Ind19	.
Ind917	Ind11	.
Ind918	Ind30	.
Ind919	Ind29	.
Ind920	Ind65	.
Ind921	Ind40	.
Ind922	Ind64	.
Ind923	Ind67	.
Ind924	Ind25	.
Ind925	Ind36	.
Ind926	Ind38	.
Ind927	Ind3	.
Ind928	Ind9	.
Ind929	Ind32	.
Ind930	Ind9	.
Ind931	Ind1	.
Ind932	Ind86	.
Ind933	Ind17	.
Ind934	Ind79	.
Ind935	Ind78	.
Ind936	Ind88	.
Ind937	Ind33	.
Ind938	Ind82	.
Ind939	Ind34	.
Ind940	Ind15	.
Ind941	Ind93	.
Ind942	Ind89	.
Ind943	Ind95	.
Ind944	Ind27	.
Ind945	Ind20	.
Ind946	Ind60	.
Ind947	Ind46	.
Ind948	Ind31	.
Ind949	Ind91	.
Ind950	Ind75	.
Ind951	Ind97	.
Ind952	Ind31	.
Ind953	Ind40	.
Ind954	Ind64	.
Ind955	Ind56	.
Ind956	Ind77	.
Ind957	Ind3	.
Ind958	Ind60	.
Ind959	Ind88	.
Ind960	Ind35	.
Ind961	Ind70	.
Ind962	Ind89	.
Ind963	Ind21	.
Ind964	Ind89	.
Ind965	Ind67	.
Ind966	Ind0	.
Ind967	Ind75	.
Ind968	Ind1	.
Ind969	Ind82	.
Ind970	Ind9	.
Ind971	Ind17	.
Ind972	Ind74	.
Ind973	Ind97	.
Ind974	Ind12	.
Ind975	Ind2	.
Ind976	Ind17	.
Ind977	Ind72	.
Ind978	Ind47	.
Ind979	Ind48	.
Ind980	Ind62	.
Ind981	Ind24	.
Ind982	Ind46	.
Ind983	Ind95	.
Ind984	Ind64	.
Ind985	Ind11	.
Ind986	Ind50	.
Ind987	Ind41	.
Ind988	Ind14	.
Ind989	Ind11	.
Ind990	Ind29	.
Ind991	Ind50	.
Ind992	Ind82	.
Ind993	Ind18	.
Ind994	Ind72	.
Ind995	Ind69	.
Ind996	Ind87	.
Ind997	Ind72	.
Ind998	Ind45	.
Ind999	Ind89	.
Ind1000	Ind53	.
Ind1001	Ind54	.
Ind1002	Ind5	.
Ind1003	Ind28	.
Ind1004	Ind52	.
Ind1005	Ind18	.
Ind1006	Ind30	.
Ind1007	Ind70	.
Ind1008	Ind91	.
Ind1009	Ind79	.
Ind1010	Ind20	.
Ind1011	Ind53	.
Ind1012	Ind3	.
Ind1013	Ind66	.
Ind1014	Ind47	.
Ind1015	Ind67	.
Ind1016	Ind78	.
Ind1017	Ind99	.
Ind1018	Ind9	.
Ind1019	Ind93	.
Ind1020	Ind10	.
Ind1021	Ind38	.
Ind1022	Ind42	.
Ind1023	Ind94	.
Ind1024	Ind56	.
Ind1025	Ind15	.
Ind1026	Ind62	.
Ind1027	Ind42	.
Ind1028	Ind88	.
Ind1029	Ind8	.
Ind1030	Ind31	.
Ind1031	Ind41	.
Ind1032	Ind63	.
Ind1033	Ind36	.
Ind1034	Ind70	.
Ind1035	Ind16	.
Ind1036	Ind54	.
Ind1037	Ind1	.
Ind1038	Ind88	.
Ind1039	Ind44	.
Ind1040	Ind80	.
Ind1041	Ind6	.
Ind1042	Ind98	.
Ind1043	Ind83	.
Ind1044	Ind73	.
Ind1045	Ind46	.
Ind1046	Ind50	.
Ind1047	Ind51	.
Ind1048	Ind45	.
Ind1049	Ind60	.
Ind1050	Ind43	.
Ind1051	Ind57	.
Ind1052	Ind99	.
Ind1053	Ind88	.
Ind1054	Ind50	.
Ind1055	Ind56	.
Ind1056	Ind2	.
Ind1057	Ind14	.
Ind1058	Ind0	.
Ind1059	Ind90	.
Ind1060	Ind23	.
Ind1061	Ind32	.
Ind1062	Ind31	.
Ind1063	Ind87	.
Ind1064	Ind68	.
Ind1065	Ind1	.
Ind1066	Ind4	.
Ind1067	Ind22	.
Ind1068	Ind2	.
Ind1069	Ind91	.
Ind1070	Ind67	.
Ind1071	Ind82	.
Ind1072	Ind97	.
Ind1073	Ind66	.
Ind1074	Ind65	.
Ind1075	Ind71	.
Ind1076	Ind13	.
Ind1077	Ind16	.
Ind1078	Ind23	.
Ind1079	Ind60	.
Ind1080	Ind77	.
Ind1081	Ind66	.
Ind1082	Ind19	.
Ind1083	Ind76	.
Ind1084	Ind54	.
Ind1085	Ind68	.
Ind1086	Ind34	.
Ind1087	Ind57	.
Ind1088	Ind83	.
Ind1089	Ind34	.
Ind1090	Ind46	.
Ind1091	Ind6	.
Ind1092	Ind65	.
Ind1093	Ind78	.
Ind1094	Ind93	.
Ind1095	Ind34	.
Ind1096	Ind79	.
Ind1097	Ind96	.
Ind1098	Ind56	.
Ind1099	Ind82	.
Ind1100	Ind87	.
Ind1101	Ind24	.
Ind1102	Ind62	.
Ind1103	Ind84	.
Ind1104	Ind92	.
Ind1105	Ind28	.
Ind1106	Ind54	.
Ind1107	Ind5	.
Ind1108	Ind44	.
Ind1109	Ind77	.
Ind1110	Ind64	.
Ind1111	Ind23	.
Ind1112	Ind44	.
Ind1113	Ind83	.
Ind1114	Ind99	.
Ind1115	Ind0	.
Ind1116	Ind51	.
Ind1117	Ind33	.
Ind1118	Ind57	.
Ind1119	Ind35	.
Ind1120	Ind67	.
Ind1121	Ind5	.
Ind1122	Ind40	.
Ind1123	Ind33	.
Ind1124	Ind84	.
Ind1125	Ind34	.
Ind1126	Ind68	.
Ind1127	Ind62	.
Ind1128	Ind29	.
Ind1129	Ind25	.
Ind1130	Ind43	.
Ind1131	Ind16	.
Ind1132	Ind48	.
Ind1133	Ind8	.
Ind1134	Ind1	.
Ind1135	Ind40	.
Ind1136	Ind38	.
Ind1137	Ind56	.
Ind1138	Ind44	.
Ind1139	Ind85	.
Ind1140	Ind34	.
Ind1141	Ind10	.
Ind1142	Ind6	.
Ind1143	Ind81	.
Ind1144	Ind95	.
Ind1145	Ind6	.
Ind1146	Ind81	.
Ind1147	Ind45	.
Ind1148	Ind39	.
Ind1149	Ind38	.
Ind1150	Ind83	.
Ind1151	Ind8	.
Ind1152	Ind43	.
Ind1153	Ind24	.
Ind1154	Ind42	.
Ind1155	Ind27	.
Ind1156	Ind57	.
Ind1157	Ind11	.
Ind1158	Ind92	.
Ind1159	Ind90	.
Ind1160	Ind36	.
Ind1161	Ind36	.
Ind1162	Ind5	.
Ind1163	Ind87	.
Ind1164	Ind45	.
Ind1165	Ind6	.
Ind1166	Ind27	.
Ind1167	Ind85	.
Ind1168	Ind63	.
Ind1169	Ind74	.
Ind1170	Ind68	.
Ind1171	Ind98	.
Ind1172	Ind85	.
Ind1173	Ind75	.
