id,sire,dam,group,donor,It,Rt,g_a,g_e,type,init. comp.
86,.,.,NA,NA,NA,NA,-0.111223,0.242546,sire,NA
87,.,.,NA,NA,NA,NA,0.18735,0.0700966,sire,NA
88,.,.,NA,NA,NA,NA,-0.301741,-1.54304,sire,NA
89,.,.,NA,NA,NA,NA,0.194909,-0.0329,sire,NA
90,.,.,NA,NA,NA,NA,-0.383639,0.984727,sire,NA
91,.,.,NA,NA,NA,NA,0.311787,0.890859,sire,NA
92,.,.,NA,NA,NA,NA,0.0804631,0.55453,sire,NA
93,.,.,NA,NA,NA,NA,-0.0972529,0.505786,sire,NA
94,.,.,NA,NA,NA,NA,0.463012,1.02205,sire,NA
95,.,.,NA,NA,NA,NA,0.468535,0.279789,sire,NA
96,.,.,NA,NA,NA,NA,0.496018,1.19692,sire,NA
97,.,.,NA,NA,NA,NA,1.35444,-0.463728,sire,NA
98,.,.,NA,NA,NA,NA,1.16115,-0.214747,sire,NA
99,.,.,NA,NA,NA,NA,0.470236,0.180084,sire,NA
100,.,.,NA,NA,NA,NA,-1.04672,-0.309491,sire,NA
101,.,.,NA,NA,NA,NA,0.551972,-0.710845,sire,NA
102,.,.,NA,NA,NA,NA,-0.519304,-0.87671,sire,NA
103,.,.,NA,NA,NA,NA,-0.338703,1.77809,sire,NA
104,.,.,NA,NA,NA,NA,-1.40063,0.0680923,sire,NA
105,.,.,NA,NA,NA,NA,0.643672,0.00301878,sire,NA
106,.,.,NA,NA,NA,NA,-0.86711,-0.348685,sire,NA
107,.,.,NA,NA,NA,NA,-0.118882,-0.243994,sire,NA
108,.,.,NA,NA,NA,NA,1.04935,0.558449,sire,NA
109,.,.,NA,NA,NA,NA,1.18105,0.244155,sire,NA
110,.,.,NA,NA,NA,NA,-0.321895,0.449883,sire,NA
111,.,.,NA,NA,NA,NA,-0.123817,-0.08249,sire,NA
112,.,.,NA,NA,NA,NA,-1.8847,-0.337904,sire,NA
113,.,.,NA,NA,NA,NA,-0.149316,0.3548,sire,NA
114,.,.,NA,NA,NA,NA,-0.796769,-0.119825,sire,NA
115,.,.,NA,NA,NA,NA,0.766488,-0.209131,sire,NA
116,.,.,NA,NA,NA,NA,0.407852,-1.08889,sire,NA
117,.,.,NA,NA,NA,NA,0.01157,-1.00589,sire,NA
118,.,.,NA,NA,NA,NA,-0.253513,0.289858,sire,NA
119,.,.,NA,NA,NA,NA,-0.813378,1.06827,sire,NA
120,.,.,NA,NA,NA,NA,0.053198,1.57606,sire,NA
121,.,.,NA,NA,NA,NA,0.830671,-0.00780703,sire,NA
122,.,.,NA,NA,NA,NA,-0.928624,-0.287334,sire,NA
123,.,.,NA,NA,NA,NA,-0.278118,1.09194,sire,NA
124,.,.,NA,NA,NA,NA,0.69569,0.39808,sire,NA
125,.,.,NA,NA,NA,NA,-0.160968,0.151358,sire,NA
126,.,.,NA,NA,NA,NA,0.273298,0.65622,sire,NA
127,.,.,NA,NA,NA,NA,-1.04034,0.551334,sire,NA
128,.,.,NA,NA,NA,NA,0.602416,0.0433326,sire,NA
129,.,.,NA,NA,NA,NA,0.436139,0.399931,sire,NA
130,.,.,NA,NA,NA,NA,-0.131913,-0.0340407,sire,NA
131,.,.,NA,NA,NA,NA,1.50989,-0.500396,sire,NA
132,.,.,NA,NA,NA,NA,-0.0951171,0.464549,sire,NA
133,.,.,NA,NA,NA,NA,-0.266243,0.446613,sire,NA
134,.,.,NA,NA,NA,NA,0.305625,0.387212,sire,NA
135,.,.,NA,NA,NA,NA,-0.105774,0.245742,sire,NA
136,.,.,NA,NA,NA,NA,-1.17688,0.219366,sire,NA
137,.,.,NA,NA,NA,NA,1.04818,-0.898668,sire,NA
138,.,.,NA,NA,NA,NA,-0.172362,0.598015,sire,NA
139,.,.,NA,NA,NA,NA,0.491798,-1.08435,sire,NA
140,.,.,NA,NA,NA,NA,0.275126,0.892888,sire,NA
141,.,.,NA,NA,NA,NA,0.094154,-0.0674253,sire,NA
142,.,.,NA,NA,NA,NA,-1.09445,0.218059,sire,NA
143,.,.,NA,NA,NA,NA,-0.23676,-0.316054,sire,NA
144,.,.,NA,NA,NA,NA,0.0406036,-0.468826,sire,NA
145,.,.,NA,NA,NA,NA,-0.892005,0.572933,sire,NA
146,.,.,NA,NA,NA,NA,-1.15863,0.716555,sire,NA
147,.,.,NA,NA,NA,NA,0.255349,-0.831581,sire,NA
148,.,.,NA,NA,NA,NA,-1.15606,-0.063144,sire,NA
149,.,.,NA,NA,NA,NA,-0.414271,1.33078,sire,NA
150,.,.,NA,NA,NA,NA,0.188729,-0.522913,sire,NA
151,.,.,NA,NA,NA,NA,0.729813,-0.0330874,sire,NA
152,.,.,NA,NA,NA,NA,-0.326482,0.0776447,sire,NA
153,.,.,NA,NA,NA,NA,-1.4235,0.716549,sire,NA
154,.,.,NA,NA,NA,NA,0.134259,-0.58243,sire,NA
155,.,.,NA,NA,NA,NA,-0.14842,0.257986,sire,NA
156,.,.,NA,NA,NA,NA,-1.08029,0.755594,sire,NA
157,.,.,NA,NA,NA,NA,-0.148498,0.678218,sire,NA
158,.,.,NA,NA,NA,NA,-0.514365,-0.219759,sire,NA
159,.,.,NA,NA,NA,NA,-1.1535,0.00945831,sire,NA
160,.,.,NA,NA,NA,NA,0.829402,-0.420443,sire,NA
161,.,.,NA,NA,NA,NA,0.46381,-0.677686,sire,NA
162,.,.,NA,NA,NA,NA,-0.474165,0.0631057,sire,NA
163,.,.,NA,NA,NA,NA,0.0143649,-0.202837,sire,NA
164,.,.,NA,NA,NA,NA,-0.462503,0.263853,sire,NA
165,.,.,NA,NA,NA,NA,-0.447704,0.0422691,sire,NA
166,.,.,NA,NA,NA,NA,0.745802,-1.0726,sire,NA
167,.,.,NA,NA,NA,NA,0.364471,-0.942707,sire,NA
168,.,.,NA,NA,NA,NA,0.386419,-1.19746,sire,NA
169,.,.,NA,NA,NA,NA,0.575409,-0.685639,sire,NA
170,.,.,NA,NA,NA,NA,-0.935791,0.858677,sire,NA
171,.,.,NA,NA,NA,NA,-0.24837,-0.472486,sire,NA
172,.,.,NA,NA,NA,NA,0.703853,0.0441754,sire,NA
173,.,.,NA,NA,NA,NA,-0.0703355,-0.868087,sire,NA
174,.,.,NA,NA,NA,NA,0.487394,0.398079,sire,NA
175,.,.,NA,NA,NA,NA,-1.04285,-0.522679,sire,NA
176,.,.,NA,NA,NA,NA,-0.165513,1.07048,sire,NA
177,.,.,NA,NA,NA,NA,-0.142939,-0.496992,sire,NA
178,.,.,NA,NA,NA,NA,-1.00956,-0.564403,sire,NA
179,.,.,NA,NA,NA,NA,-1.0492,1.43282,sire,NA
180,.,.,NA,NA,NA,NA,-0.376772,0.865168,sire,NA
181,.,.,NA,NA,NA,NA,-0.669798,1.06701,sire,NA
182,.,.,NA,NA,NA,NA,-0.0622854,-0.893255,sire,NA
183,.,.,NA,NA,NA,NA,-0.0474921,0.546856,sire,NA
184,.,.,NA,NA,NA,NA,0.413383,-1.01771,sire,NA
185,.,.,NA,NA,NA,NA,-0.657243,0.0988896,sire,NA
186,.,.,NA,NA,NA,NA,-0.640679,-1.85418,sire,NA
187,.,.,NA,NA,NA,NA,0.703188,0.494843,sire,NA
188,.,.,NA,NA,NA,NA,0.722154,-0.478077,sire,NA
189,.,.,NA,NA,NA,NA,0.577318,0.526259,sire,NA
190,.,.,NA,NA,NA,NA,-0.664706,-0.341602,sire,NA
191,.,.,NA,NA,NA,NA,0.412045,-0.38542,sire,NA
192,.,.,NA,NA,NA,NA,-1.50065,-0.22074,sire,NA
193,.,.,NA,NA,NA,NA,-1.64745,-0.992676,sire,NA
194,.,.,NA,NA,NA,NA,-0.355042,-0.405161,sire,NA
195,.,.,NA,NA,NA,NA,-0.926865,0.377593,sire,NA
196,.,.,NA,NA,NA,NA,0.699202,-0.398944,sire,NA
197,.,.,NA,NA,NA,NA,1.22237,0.440375,sire,NA
198,.,.,NA,NA,NA,NA,-0.626017,-0.449808,sire,NA
199,.,.,NA,NA,NA,NA,0.174011,0.554541,sire,NA
200,.,.,NA,NA,NA,NA,-0.0189097,-0.261201,sire,NA
201,.,.,NA,NA,NA,NA,0.305403,-0.340214,sire,NA
202,.,.,NA,NA,NA,NA,0.377901,1.06143,sire,NA
203,.,.,NA,NA,NA,NA,0.0563521,0.197158,sire,NA
204,.,.,NA,NA,NA,NA,0.919983,0.521912,sire,NA
205,.,.,NA,NA,NA,NA,-0.0259171,-0.0982471,sire,NA
206,.,.,NA,NA,NA,NA,-0.0978477,-0.62826,sire,NA
207,.,.,NA,NA,NA,NA,0.250359,-0.0680711,sire,NA
208,.,.,NA,NA,NA,NA,-0.601409,-0.346483,sire,NA
209,.,.,NA,NA,NA,NA,0.0306165,-0.81273,sire,NA
210,.,.,NA,NA,NA,NA,-0.139802,-0.911092,sire,NA
211,.,.,NA,NA,NA,NA,-0.0627554,0.316376,sire,NA
212,.,.,NA,NA,NA,NA,0.0975319,-0.00585341,sire,NA
213,.,.,NA,NA,NA,NA,-0.355995,0.67977,sire,NA
214,.,.,NA,NA,NA,NA,0.621654,0.327275,sire,NA
215,.,.,NA,NA,NA,NA,0.280778,0.654219,sire,NA
216,.,.,NA,NA,NA,NA,0.111952,0.0306844,sire,NA
217,.,.,NA,NA,NA,NA,1.04656,0.482534,sire,NA
218,.,.,NA,NA,NA,NA,0.346203,0.461619,sire,NA
219,.,.,NA,NA,NA,NA,-0.666778,0.332993,sire,NA
220,.,.,NA,NA,NA,NA,0.527706,-1.60481,sire,NA
221,.,.,NA,NA,NA,NA,-0.31998,-0.506385,sire,NA
222,.,.,NA,NA,NA,NA,-0.946597,-1.09809,sire,NA
223,.,.,NA,NA,NA,NA,-0.445862,-0.1188,sire,NA
224,.,.,NA,NA,NA,NA,-0.674479,0.393198,sire,NA
225,.,.,NA,NA,NA,NA,-0.796073,1.68803,sire,NA
226,.,.,NA,NA,NA,NA,0.425097,0.0409814,sire,NA
227,.,.,NA,NA,NA,NA,0.367795,-0.155781,sire,NA
228,.,.,NA,NA,NA,NA,-0.3164,0.861673,sire,NA
229,.,.,NA,NA,NA,NA,0.617896,-0.255578,sire,NA
230,.,.,NA,NA,NA,NA,0.173729,-0.162237,sire,NA
231,.,.,NA,NA,NA,NA,1.12701,-1.40792,sire,NA
232,.,.,NA,NA,NA,NA,0.0156189,-0.730571,sire,NA
233,.,.,NA,NA,NA,NA,1.48576,0.0823698,sire,NA
234,.,.,NA,NA,NA,NA,0.388291,-0.635476,sire,NA
235,.,.,NA,NA,NA,NA,-0.228485,1.28498,sire,NA
236,.,.,NA,NA,NA,NA,0.64632,-0.188312,sire,NA
237,.,.,NA,NA,NA,NA,0.271494,0.470977,sire,NA
238,.,.,NA,NA,NA,NA,-0.997644,0.180067,sire,NA
239,.,.,NA,NA,NA,NA,-0.261762,0.612413,sire,NA
240,.,.,NA,NA,NA,NA,0.0473277,0.258698,sire,NA
241,.,.,NA,NA,NA,NA,0.109094,0.270043,sire,NA
242,.,.,NA,NA,NA,NA,-0.758799,-0.7187,sire,NA
243,.,.,NA,NA,NA,NA,0.459272,1.6759,sire,NA
244,.,.,NA,NA,NA,NA,0.581794,0.373999,sire,NA
245,.,.,NA,NA,NA,NA,-0.102421,-0.839757,sire,NA
246,.,.,NA,NA,NA,NA,-0.254693,0.415374,sire,NA
247,.,.,NA,NA,NA,NA,0.484862,-0.69332,sire,NA
248,.,.,NA,NA,NA,NA,0.198395,-0.423326,sire,NA
249,.,.,NA,NA,NA,NA,-0.0376796,-0.914035,sire,NA
250,.,.,NA,NA,NA,NA,1.31884,-0.0378782,sire,NA
251,.,.,NA,NA,NA,NA,-1.23025,0.332482,sire,NA
252,.,.,NA,NA,NA,NA,0.802096,-1.45949,sire,NA
253,.,.,NA,NA,NA,NA,0.256664,0.475272,sire,NA
254,.,.,NA,NA,NA,NA,-0.351818,0.102559,sire,NA
255,.,.,NA,NA,NA,NA,-1.33059,-0.0590556,sire,NA
256,.,.,NA,NA,NA,NA,1.34537,0.221431,sire,NA
257,.,.,NA,NA,NA,NA,0.121162,-0.16073,sire,NA
258,.,.,NA,NA,NA,NA,-0.429485,-0.714508,sire,NA
259,.,.,NA,NA,NA,NA,-0.445812,0.106412,sire,NA
260,.,.,NA,NA,NA,NA,1.41085,0.893843,sire,NA
261,.,.,NA,NA,NA,NA,-0.121629,-0.165102,sire,NA
262,.,.,NA,NA,NA,NA,-0.440026,-0.725155,sire,NA
263,.,.,NA,NA,NA,NA,0.814944,0.812193,sire,NA
264,.,.,NA,NA,NA,NA,0.140686,-0.934364,sire,NA
265,.,.,NA,NA,NA,NA,-0.299192,0.720917,sire,NA
266,.,.,NA,NA,NA,NA,0.687538,2.51147,sire,NA
267,.,.,NA,NA,NA,NA,0.318574,0.585241,sire,NA
268,.,.,NA,NA,NA,NA,-1.30166,0.13661,sire,NA
269,.,.,NA,NA,NA,NA,-0.487056,1.52312,sire,NA
270,.,.,NA,NA,NA,NA,-0.927112,-0.121266,sire,NA
271,.,.,NA,NA,NA,NA,-0.513277,-0.77218,sire,NA
272,.,.,NA,NA,NA,NA,0.827787,0.500719,sire,NA
273,.,.,NA,NA,NA,NA,0.274145,0.117023,sire,NA
274,.,.,NA,NA,NA,NA,-0.959314,0.164616,sire,NA
275,.,.,NA,NA,NA,NA,-0.958616,1.13946,sire,NA
276,.,.,NA,NA,NA,NA,0.385061,0.172381,sire,NA
277,.,.,NA,NA,NA,NA,-0.833727,1.07222,sire,NA
278,.,.,NA,NA,NA,NA,0.437712,-0.850438,sire,NA
279,.,.,NA,NA,NA,NA,-0.323353,0.589824,sire,NA
280,.,.,NA,NA,NA,NA,0.155068,1.21883,sire,NA
281,.,.,NA,NA,NA,NA,0.826454,-1.02044,sire,NA
282,.,.,NA,NA,NA,NA,-0.259914,-0.770561,sire,NA
283,.,.,NA,NA,NA,NA,0.364544,-0.379674,sire,NA
284,.,.,NA,NA,NA,NA,-0.547525,0.62553,sire,NA
285,.,.,NA,NA,NA,NA,-1.1327,-0.226406,sire,NA
286,.,.,NA,NA,NA,NA,-0.280177,0.412364,sire,NA
287,.,.,NA,NA,NA,NA,-0.864459,-0.326407,sire,NA
288,.,.,NA,NA,NA,NA,-0.391322,-0.266321,sire,NA
289,.,.,NA,NA,NA,NA,1.23159,1.23054,sire,NA
290,.,.,NA,NA,NA,NA,-0.66875,-0.476827,sire,NA
291,.,.,NA,NA,NA,NA,0.719465,0.205916,sire,NA
292,.,.,NA,NA,NA,NA,0.218333,-0.496632,sire,NA
293,.,.,NA,NA,NA,NA,0.652987,1.423,sire,NA
294,.,.,NA,NA,NA,NA,0.769366,-0.53616,sire,NA
295,.,.,NA,NA,NA,NA,0.0841413,-0.364149,sire,NA
296,.,.,NA,NA,NA,NA,-0.0875036,0.529576,sire,NA
297,.,.,NA,NA,NA,NA,-0.834876,0.0738327,sire,NA
298,.,.,NA,NA,NA,NA,0.684379,0.503833,sire,NA
299,.,.,NA,NA,NA,NA,0.674807,0.435606,sire,NA
300,.,.,NA,NA,NA,NA,-0.2004,-0.421059,sire,NA
301,.,.,NA,NA,NA,NA,-0.715897,0.521171,sire,NA
302,.,.,NA,NA,NA,NA,-0.150242,0.930333,sire,NA
303,.,.,NA,NA,NA,NA,0.0286607,0.483317,sire,NA
304,.,.,NA,NA,NA,NA,-1.09964,-0.782589,sire,NA
305,.,.,NA,NA,NA,NA,0.121673,-0.0131975,sire,NA
306,.,.,NA,NA,NA,NA,-0.028921,0.356126,sire,NA
307,.,.,NA,NA,NA,NA,-0.839707,-1.19616,sire,NA
308,.,.,NA,NA,NA,NA,1.67478,0.00563742,sire,NA
309,.,.,NA,NA,NA,NA,-0.385622,-0.256659,sire,NA
310,.,.,NA,NA,NA,NA,-0.208575,0.653938,sire,NA
311,.,.,NA,NA,NA,NA,-0.203112,0.0342256,sire,NA
312,.,.,NA,NA,NA,NA,-0.444019,0.00890309,sire,NA
313,.,.,NA,NA,NA,NA,0.87783,-1.03592,sire,NA
314,.,.,NA,NA,NA,NA,0.936602,-0.222365,sire,NA
315,.,.,NA,NA,NA,NA,-0.0757926,1.43135,sire,NA
316,.,.,NA,NA,NA,NA,0.13013,1.05562,sire,NA
317,.,.,NA,NA,NA,NA,-0.129666,-0.969192,sire,NA
318,.,.,NA,NA,NA,NA,-0.69936,0.278672,sire,NA
319,.,.,NA,NA,NA,NA,0.605112,-0.0358015,sire,NA
320,.,.,NA,NA,NA,NA,-0.634095,1.6987,sire,NA
321,.,.,NA,NA,NA,NA,-0.759038,1.57634,sire,NA
322,.,.,NA,NA,NA,NA,-1.02378,-0.294035,sire,NA
323,.,.,NA,NA,NA,NA,0.0556211,-1.27212,sire,NA
324,.,.,NA,NA,NA,NA,0.628236,0.30776,sire,NA
325,.,.,NA,NA,NA,NA,0.303838,0.0207648,sire,NA
326,.,.,NA,NA,NA,NA,-0.16078,0.0673663,sire,NA
327,.,.,NA,NA,NA,NA,-0.617881,-0.878555,sire,NA
328,.,.,NA,NA,NA,NA,0.0968109,0.0406169,sire,NA
329,.,.,NA,NA,NA,NA,0.214934,0.476989,sire,NA
330,.,.,NA,NA,NA,NA,-0.671922,0.289271,sire,NA
331,.,.,NA,NA,NA,NA,-1.32437,0.999102,sire,NA
332,.,.,NA,NA,NA,NA,-0.16355,0.0360265,sire,NA
333,.,.,NA,NA,NA,NA,0.377739,-1.27505,sire,NA
334,.,.,NA,NA,NA,NA,-0.550467,0.330723,sire,NA
335,.,.,NA,NA,NA,NA,-0.884035,0.112805,sire,NA
336,.,.,NA,NA,NA,NA,-0.0280695,-0.425553,sire,NA
337,.,.,NA,NA,NA,NA,-0.3253,1.18294,sire,NA
338,.,.,NA,NA,NA,NA,0.583687,1.22446,sire,NA
339,.,.,NA,NA,NA,NA,0.496958,-0.255278,sire,NA
340,.,.,NA,NA,NA,NA,0.418345,-0.789714,sire,NA
341,.,.,NA,NA,NA,NA,-0.619082,-0.29459,sire,NA
342,.,.,NA,NA,NA,NA,0.213211,-0.507701,sire,NA
343,.,.,NA,NA,NA,NA,-1.12656,0.0742616,sire,NA
344,.,.,NA,NA,NA,NA,0.636637,-0.412902,sire,NA
345,.,.,NA,NA,NA,NA,-0.38727,0.333146,sire,NA
346,.,.,NA,NA,NA,NA,-0.357801,0.299041,sire,NA
347,.,.,NA,NA,NA,NA,-0.133991,-0.345093,sire,NA
348,.,.,NA,NA,NA,NA,0.489736,1.82325,sire,NA
349,.,.,NA,NA,NA,NA,0.843088,1.32593,sire,NA
350,.,.,NA,NA,NA,NA,-0.575169,0.288949,sire,NA
351,.,.,NA,NA,NA,NA,0.361302,-0.592643,sire,NA
352,.,.,NA,NA,NA,NA,0.490524,0.175146,sire,NA
353,.,.,NA,NA,NA,NA,0.796294,-0.0270959,sire,NA
354,.,.,NA,NA,NA,NA,0.431207,0.458898,sire,NA
355,.,.,NA,NA,NA,NA,0.519803,1.2909,sire,NA
356,.,.,NA,NA,NA,NA,0.619212,-0.532643,sire,NA
357,.,.,NA,NA,NA,NA,-0.599754,-0.679979,sire,NA
358,.,.,NA,NA,NA,NA,-0.00726727,-0.249496,sire,NA
359,.,.,NA,NA,NA,NA,0.248799,0.230965,sire,NA
360,.,.,NA,NA,NA,NA,-0.0626137,-0.0956027,sire,NA
361,.,.,NA,NA,NA,NA,-0.0555797,-1.84411,sire,NA
362,.,.,NA,NA,NA,NA,0.0779353,-0.322211,sire,NA
363,.,.,NA,NA,NA,NA,1.01022,-0.778897,sire,NA
364,.,.,NA,NA,NA,NA,0.527782,-0.0207556,sire,NA
365,.,.,NA,NA,NA,NA,0.11853,0.276315,sire,NA
366,.,.,NA,NA,NA,NA,-0.0982482,0.611419,sire,NA
367,.,.,NA,NA,NA,NA,0.0862814,0.729468,sire,NA
368,.,.,NA,NA,NA,NA,0.539133,0.0244949,sire,NA
369,.,.,NA,NA,NA,NA,1.88392,0.820822,sire,NA
370,.,.,NA,NA,NA,NA,-0.0153692,-0.4474,sire,NA
371,.,.,NA,NA,NA,NA,-1.34612,-0.406675,sire,NA
372,.,.,NA,NA,NA,NA,0.423911,0.483497,sire,NA
373,.,.,NA,NA,NA,NA,0.29391,-0.0805212,sire,NA
374,.,.,NA,NA,NA,NA,-0.581199,0.693519,sire,NA
375,.,.,NA,NA,NA,NA,0.147678,-1.76355,sire,NA
376,.,.,NA,NA,NA,NA,-0.0289627,-0.704134,sire,NA
377,.,.,NA,NA,NA,NA,1.27483,0.454246,sire,NA
378,.,.,NA,NA,NA,NA,-1.0983,0.197943,sire,NA
379,.,.,NA,NA,NA,NA,-0.167543,-1.81641,sire,NA
380,.,.,NA,NA,NA,NA,0.826111,0.294139,sire,NA
381,.,.,NA,NA,NA,NA,1.77868,0.0171959,sire,NA
382,.,.,NA,NA,NA,NA,0.114828,0.61617,sire,NA
383,.,.,NA,NA,NA,NA,0.58109,0.578629,sire,NA
384,.,.,NA,NA,NA,NA,0.120905,-0.354059,sire,NA
385,.,.,NA,NA,NA,NA,0.103227,-0.505928,sire,NA
386,.,.,NA,NA,NA,NA,0.342891,-1.42303,sire,NA
387,.,.,NA,NA,NA,NA,0.268767,0.144889,sire,NA
388,.,.,NA,NA,NA,NA,-0.456551,-0.017204,sire,NA
389,.,.,NA,NA,NA,NA,-0.670284,0.340813,sire,NA
390,.,.,NA,NA,NA,NA,-0.874805,0.281654,sire,NA
391,.,.,NA,NA,NA,NA,0.213319,0.0940266,sire,NA
392,.,.,NA,NA,NA,NA,1.26085,-0.237429,sire,NA
393,.,.,NA,NA,NA,NA,0.29114,-0.0176228,sire,NA
394,.,.,NA,NA,NA,NA,1.69088,0.0478268,sire,NA
395,.,.,NA,NA,NA,NA,0.179928,0.277859,sire,NA
