ID	Group	Init. Comp.	It	Rt
Ind358	26	S	4.69911	9.32618
Ind359	26	S	4.06996	12.0276
Ind360	27	I	no	.
Ind361	27	I	no	4.29402
Ind362	27	S	2.31962	.
Ind363	27	S	.	13.6426
Ind364	27	S	6.55382	.
Ind365	27	S	.	14.2766
Ind366	27	S	2.10638	7.75981
Ind367	27	S	.	.
Ind368	27	S	no	no
Ind369	27	S	no	no
Ind370	28	I	no	.
Ind371	28	I	no	.
Ind372	28	S	.	9.19581
Ind373	28	S	4.42648	9.87426
Ind374	28	S	.	22.2114
Ind375	28	S	.	.
Ind376	28	S	.	14.1014
Ind377	28	S	3.36605	.
Ind378	28	S	.	.
Ind379	28	S	8.32186	27.7926
Ind380	29	I	no	8.37744
Ind381	29	I	no	4.34454
Ind382	29	S	3.04185	.
Ind383	29	S	.	.
Ind384	29	S	no	no
Ind385	29	S	.	3.65809
Ind386	29	S	.	.
Ind387	29	S	.	11.4825
Ind388	29	S	2.74939	.
Ind389	29	S	4.45417	13.188
Ind390	30	I	no	.
Ind391	30	I	no	.
Ind392	30	S	.	.
Ind393	30	S	2.89422	7.93571
Ind394	30	S	0.211877	.
Ind395	30	S	.	.
Ind396	30	S	.	6.0215
Ind397	30	S	0.173878	1.48656
Ind398	30	S	3.26257	.
Ind399	30	S	1.51879	3.43314
Ind400	31	I	no	4.0296
Ind401	31	I	no	8.47405
Ind402	31	S	.	.
Ind403	31	S	.	.
Ind404	31	S	.	11.8505
Ind405	31	S	2.39459	17.9477
Ind406	31	S	.	.
Ind407	31	S	.	8.8817
Ind408	31	S	6.47994	13.2602
Ind409	31	S	4.20773	14.8311
Ind410	32	I	no	.
Ind411	32	I	no	6.08267
Ind412	32	S	3.79689	7.89523
Ind413	32	S	.	13.4675
Ind414	32	S	13.4163	25.5619
Ind415	32	S	2.93941	.
Ind416	32	S	.	.
Ind417	32	S	.	8.55354
Ind418	32	S	.	.
Ind419	32	S	4.83318	6.76737
Ind420	33	I	no	.
Ind421	33	I	no	.
Ind422	33	S	4.60662	.
Ind423	33	S	6.38386	.
Ind424	33	S	.	.
Ind425	33	S	10.6533	17.8348
Ind426	33	S	.	12.451
Ind427	33	S	.	15.1258
Ind428	33	S	.	.
Ind429	33	S	.	2.34445
Ind430	34	I	no	.
Ind431	34	I	no	.
Ind432	34	S	3.03903	5.57557
Ind433	34	S	1.67566	13.776
Ind434	34	S	.	7.13499
Ind435	34	S	no	no
Ind436	34	S	6.66595	14.7976
Ind437	34	S	3.94523	13.4481
Ind438	34	S	.	.
Ind439	34	S	4.12497	6.85881
Ind440	35	I	no	.
Ind441	35	I	no	6.02287
Ind442	35	S	.	10.8864
Ind443	35	S	.	18.6365
Ind444	35	S	8.04938	.
Ind445	35	S	.	.
Ind446	35	S	1.37973	8.13139
Ind447	35	S	.	.
Ind448	35	S	.	.
Ind449	35	S	2.61579	9.82957
Ind450	36	I	no	.
Ind451	36	I	no	.
Ind452	36	S	14.3741	.
Ind453	36	S	.	16.3441
Ind454	36	S	3.24988	.
Ind455	36	S	4.29596	.
Ind456	36	S	no	no
Ind457	36	S	no	no
Ind458	36	S	.	3.67839
Ind459	36	S	.	27.7758
Ind460	37	I	no	.
Ind461	37	I	no	.
Ind462	37	S	.	11.7596
Ind463	37	S	3.43269	.
Ind464	37	S	4.01433	.
Ind465	37	S	.	.
Ind466	37	S	6.65929	9.05859
Ind467	37	S	7.85008	.
Ind468	37	S	.	.
Ind469	37	S	.	.
Ind470	38	I	no	.
Ind471	38	I	no	3.41822
Ind472	38	S	4.83397	7.55766
Ind473	38	S	13.7835	36.685
Ind474	38	S	1.35112	.
Ind475	38	S	0.588343	.
Ind476	38	S	2.39323	.
Ind477	38	S	.	.
Ind478	38	S	.	5.88163
Ind479	38	S	9.08753	.
Ind480	39	I	no	5.45325
Ind481	39	I	no	.
Ind482	39	S	no	no
Ind483	39	S	.	.
Ind484	39	S	0.802776	8.77971
Ind485	39	S	2.05575	.
Ind486	39	S	1.93007	11.6342
Ind487	39	S	.	6.44315
Ind488	39	S	.	10.1965
Ind489	39	S	0.0875696	10.0525
Ind490	40	I	no	11.9255
Ind491	40	I	no	.
Ind492	40	S	6.88807	18.5966
Ind493	40	S	6.4502	16.355
Ind494	40	S	0.409721	.
Ind495	40	S	11.7986	.
Ind496	40	S	.	14.7128
Ind497	40	S	4.19216	13.0618
Ind498	40	S	.	10.5426
Ind499	40	S	.	.
Ind500	41	I	no	0.777678
Ind501	41	I	no	3.76802
Ind502	41	S	.	10.962
Ind503	41	S	.	6.77203
Ind504	41	S	.	16.0773
Ind505	41	S	0.853341	8.11714
Ind506	41	S	0.685317	9.91954
Ind507	41	S	.	.
Ind508	41	S	.	.
Ind509	41	S	.	7.79253
Ind510	42	I	no	1.56247
Ind511	42	I	no	.
Ind512	42	S	14.2487	.
Ind513	42	S	.	7.55374
Ind514	42	S	no	no
Ind515	42	S	.	10.9324
Ind516	42	S	6.95353	.
Ind517	42	S	.	14.6854
Ind518	42	S	no	no
Ind519	42	S	.	13.9903
Ind520	43	I	no	3.58471
Ind521	43	I	no	.
Ind522	43	S	no	no
Ind523	43	S	0.747983	.
Ind524	43	S	.	6.45735
Ind525	43	S	3.48413	.
Ind526	43	S	1.00995	4.12823
Ind527	43	S	2.6603	.
Ind528	43	S	no	no
Ind529	43	S	no	no
Ind530	44	I	no	.
Ind531	44	I	no	8.74186
Ind532	44	S	.	.
Ind533	44	S	.	10.2917
Ind534	44	S	.	.
Ind535	44	S	.	.
Ind536	44	S	.	.
Ind537	44	S	2.50964	10.0982
Ind538	44	S	5.4309	.
Ind539	44	S	2.17711	15.1307
Ind540	45	I	no	.
Ind541	45	I	no	12.4829
Ind542	45	S	no	no
Ind543	45	S	.	16.5598
Ind544	45	S	0.363133	7.62157
Ind545	45	S	no	no
Ind546	45	S	3.70606	8.48024
Ind547	45	S	no	no
Ind548	45	S	1.40827	.
Ind549	45	S	no	no
Ind550	46	I	no	.
Ind551	46	I	no	4.78104
Ind552	46	S	.	.
Ind553	46	S	1.81577	.
Ind554	46	S	.	.
Ind555	46	S	.	.
Ind556	46	S	.	.
Ind557	46	S	0.615481	.
Ind558	46	S	.	.
Ind559	46	S	.	5.82807
Ind560	47	I	no	2.72419
Ind561	47	I	no	.
Ind562	47	S	25.6647	.
Ind563	47	S	20.9188	.
Ind564	47	S	12.8528	15.3538
Ind565	47	S	7.12152	23.2327
Ind566	47	S	.	26.7735
Ind567	47	S	2.12222	.
Ind568	47	S	16.5691	.
Ind569	47	S	2.19066	.
Ind570	48	I	no	4.27194
Ind571	48	I	no	3.84272
Ind572	48	S	7.30711	27.3492
Ind573	48	S	.	12.6837
Ind574	48	S	1.71307	5.65607
Ind575	48	S	.	.
Ind576	48	S	.	7.45513
Ind577	48	S	.	10.1708
Ind578	48	S	3.78128	.
Ind579	48	S	.	21.6831
Ind580	49	I	no	.
Ind581	49	I	no	.
Ind582	49	S	.	.
Ind583	49	S	6.13476	.
Ind584	49	S	.	6.45376
Ind585	49	S	4.19302	6.7063
Ind586	49	S	8.52186	.
Ind587	49	S	.	15.0553
Ind588	49	S	9.71111	17.5391
Ind589	49	S	.	10.5005
Ind590	50	I	no	9.13705
Ind591	50	I	no	.
Ind592	50	S	0.920392	.
Ind593	50	S	5.42103	14.1066
Ind594	50	S	2.95246	11.0972
Ind595	50	S	8.00693	11.8977
Ind596	50	S	.	9.29651
Ind597	50	S	.	.
Ind598	50	S	1.22167	.
Ind599	50	S	7.00955	.
Ind600	51	I	no	22.8236
Ind601	51	I	no	.
Ind602	51	S	.	.
Ind603	51	S	.	.
Ind604	51	S	.	.
Ind605	51	S	4.038	.
Ind606	51	S	.	.
Ind607	51	S	1.17758	.
Ind608	51	S	no	no
Ind609	51	S	.	3.56324
Ind610	52	I	no	.
Ind611	52	I	no	.
Ind612	52	S	.	5.71689
Ind613	52	S	2.54152	10.2302
Ind614	52	S	.	.
Ind615	52	S	2.83066	5.71845
Ind616	52	S	.	.
Ind617	52	S	.	.
Ind618	52	S	no	no
Ind619	52	S	1.58416	7.71326
Ind620	53	I	no	.
Ind621	53	I	no	2.53669
Ind622	53	S	8.79118	.
Ind623	53	S	4.76418	14.5672
Ind624	53	S	8.12312	.
Ind625	53	S	.	.
Ind626	53	S	.	20.0118
Ind627	53	S	.	18.0051
Ind628	53	S	2.52543	.
Ind629	53	S	1.43284	19.7237
Ind630	54	I	no	.
Ind631	54	I	no	1.18824
Ind632	54	S	no	no
Ind633	54	S	no	no
Ind634	54	S	no	no
Ind635	54	S	no	no
Ind636	54	S	no	no
Ind637	54	S	no	no
Ind638	54	S	no	no
Ind639	54	S	no	no
Ind640	55	I	no	7.96531
Ind641	55	I	no	6.13319
Ind642	55	S	.	.
Ind643	55	S	.	.
Ind644	55	S	.	.
Ind645	55	S	0.159055	7.91249
Ind646	55	S	.	.
Ind647	55	S	11.6516	16.6693
Ind648	55	S	6.71909	.
Ind649	55	S	0.56742	.
Ind650	56	I	no	8.92374
Ind651	56	I	no	4.82801
Ind652	56	S	6.39988	.
Ind653	56	S	4.7999	8.56059
Ind654	56	S	.	.
Ind655	56	S	.	.
Ind656	56	S	.	20.2597
Ind657	56	S	21.4254	29.4011
Ind658	56	S	10.4704	19.3158
Ind659	56	S	.	.
Ind660	57	I	no	.
Ind661	57	I	no	.
Ind662	57	S	0.63553	.
Ind663	57	S	.	5.57846
Ind664	57	S	.	8.35225
Ind665	57	S	.	11.7185
Ind666	57	S	.	.
Ind667	57	S	.	8.14605
Ind668	57	S	.	21.4652
Ind669	57	S	0.927039	22.6214
Ind670	58	I	no	11.0866
Ind671	58	I	no	.
Ind672	58	S	.	.
Ind673	58	S	.	7.65152
Ind674	58	S	.	.
Ind675	58	S	.	11.587
Ind676	58	S	.	.
Ind677	58	S	7.13839	14.2581
Ind678	58	S	4.807	.
Ind679	58	S	3.76077	.
Ind680	59	I	no	15.1277
Ind681	59	I	no	.
Ind682	59	S	.	.
Ind683	59	S	9.0703	.
Ind684	59	S	3.94956	.
Ind685	59	S	.	12.9608
Ind686	59	S	.	.
Ind687	59	S	2.36888	.
Ind688	59	S	.	.
Ind689	59	S	.	.
Ind690	60	I	no	3.15741
Ind691	60	I	no	4.39564
Ind692	60	S	.	.
Ind693	60	S	.	.
Ind694	60	S	.	.
Ind695	60	S	2.04882	.
Ind696	60	S	.	16.991
Ind697	60	S	2.57757	.
Ind698	60	S	2.40573	9.37716
Ind699	60	S	.	15.8804
Ind700	61	I	no	3.46681
Ind701	61	I	no	4.3012
Ind702	61	S	no	no
Ind703	61	S	0.185772	3.43968
Ind704	61	S	no	no
Ind705	61	S	no	no
Ind706	61	S	no	no
Ind707	61	S	1.6535	2.54855
Ind708	61	S	no	no
Ind709	61	S	no	no
Ind710	62	I	no	7.38057
Ind711	62	I	no	.
Ind712	62	S	5.93642	12.0112
Ind713	62	S	.	.
Ind714	62	S	.	.
Ind715	62	S	8.67927	.
Ind716	62	S	.	.
Ind717	62	S	2.79821	12.2743
Ind718	62	S	.	.
Ind719	62	S	4.92942	.
Ind720	63	I	no	.
Ind721	63	I	no	.
Ind722	63	S	0.741983	3.90107
Ind723	63	S	.	18.7304
Ind724	63	S	.	13.8932
Ind725	63	S	0.498497	.
Ind726	63	S	0.726324	14.0686
Ind727	63	S	.	7.01306
Ind728	63	S	.	.
Ind729	63	S	1.48703	.
Ind730	64	I	no	5.91956
Ind731	64	I	no	3.94019
Ind732	64	S	.	.
Ind733	64	S	3.70136	12.4538
Ind734	64	S	14.5589	20.5494
Ind735	64	S	.	5.192
Ind736	64	S	.	6.89521
Ind737	64	S	.	.
Ind738	64	S	.	16.6788
Ind739	64	S	.	.
Ind740	65	I	no	11.3606
Ind741	65	I	no	.
Ind742	65	S	.	9.36655
Ind743	65	S	7.77125	10.0154
Ind744	65	S	no	no
Ind745	65	S	.	8.63055
Ind746	65	S	8.09172	.
Ind747	65	S	6.79183	.
Ind748	65	S	8.71848	.
Ind749	65	S	10.2697	.
Ind750	66	I	no	7.79978
Ind751	66	I	no	8.34656
Ind752	66	S	no	no
Ind753	66	S	4.17994	11.9956
Ind754	66	S	no	no
Ind755	66	S	.	7.25872
Ind756	66	S	.	.
Ind757	66	S	3.79204	5.80404
Ind758	66	S	no	no
Ind759	66	S	6.3321	.
Ind760	67	I	no	6.04772
Ind761	67	I	no	5.91926
Ind762	67	S	no	no
Ind763	67	S	no	no
Ind764	67	S	no	no
Ind765	67	S	no	no
Ind766	67	S	no	no
Ind767	67	S	no	no
Ind768	67	S	no	no
Ind769	67	S	no	no
Ind770	68	I	no	5.56885
Ind771	68	I	no	6.87956
Ind772	68	S	no	no
Ind773	68	S	.	12.0368
Ind774	68	S	.	18.8347
Ind775	68	S	4.83632	9.42248
Ind776	68	S	no	no
Ind777	68	S	no	no
Ind778	68	S	2.36883	.
Ind779	68	S	.	.
Ind780	69	I	no	.
Ind781	69	I	no	.
Ind782	69	S	1.69209	.
Ind783	69	S	.	13.7514
Ind784	69	S	1.34902	.
Ind785	69	S	.	.
Ind786	69	S	.	.
Ind787	69	S	no	no
Ind788	69	S	1.93026	10.0114
Ind789	69	S	.	13.7485
Ind790	70	I	no	4.56436
Ind791	70	I	no	.
Ind792	70	S	.	.
Ind793	70	S	9.18707	.
Ind794	70	S	.	.
Ind795	70	S	.	.
Ind796	70	S	.	15.4966
Ind797	70	S	.	.
Ind798	70	S	.	7.72176
Ind799	70	S	no	no
Ind800	71	I	no	4.31628
Ind801	71	I	no	14.2986
Ind802	71	S	.	10.385
Ind803	71	S	.	.
Ind804	71	S	.	.
Ind805	71	S	.	.
Ind806	71	S	2.88212	.
Ind807	71	S	.	.
Ind808	71	S	0.141227	.
Ind809	71	S	.	8.38783
Ind810	72	I	no	7.24025
Ind811	72	I	no	.
Ind812	72	S	.	8.03169
Ind813	72	S	.	13.2977
Ind814	72	S	1.99778	4.2598
Ind815	72	S	.	.
Ind816	72	S	.	12.8463
Ind817	72	S	.	10.8059
Ind818	72	S	.	7.47894
Ind819	72	S	3.19158	10.8317
Ind820	73	I	no	2.82247
Ind821	73	I	no	4.02028
Ind822	73	S	.	.
Ind823	73	S	.	.
Ind824	73	S	.	.
Ind825	73	S	.	.
Ind826	73	S	.	.
Ind827	73	S	.	12.3746
Ind828	73	S	2.33745	24.6909
Ind829	73	S	3.76337	.
Ind830	74	I	no	.
Ind831	74	I	no	5.3507
Ind832	74	S	4.8043	7.71635
Ind833	74	S	.	18.9072
Ind834	74	S	.	27.1013
Ind835	74	S	.	6.67173
Ind836	74	S	.	.
Ind837	74	S	0.00650604	.
Ind838	74	S	2.0403	11.1201
Ind839	74	S	.	16.2246
Ind840	75	I	no	3.12858
Ind841	75	I	no	1.81341
Ind842	75	S	.	.
Ind843	75	S	.	1.38616
Ind844	75	S	10.0579	.
Ind845	75	S	0.0480967	.
Ind846	75	S	11.4454	.
Ind847	75	S	.	.
Ind848	75	S	no	no
Ind849	75	S	.	12.0227
Ind850	76	I	no	.
Ind851	76	I	no	.
Ind852	76	S	8.62764	17.9092
Ind853	76	S	.	.
Ind854	76	S	7.40895	18.1394
Ind855	76	S	.	.
Ind856	76	S	11.68	15.4527
Ind857	76	S	.	.
Ind858	76	S	10.5911	.
Ind859	76	S	.	.
Ind860	77	I	no	.
Ind861	77	I	no	.
Ind862	77	S	5.23233	18.0285
Ind863	77	S	2.19339	.
Ind864	77	S	2.73438	6.58193
Ind865	77	S	.	.
Ind866	77	S	.	6.32285
Ind867	77	S	1.99148	.
Ind868	77	S	.	13.4478
Ind869	77	S	5.5925	.
Ind870	78	I	no	4.53319
Ind871	78	I	no	.
Ind872	78	S	1.89779	12.368
Ind873	78	S	5.27661	14.614
Ind874	78	S	.	16.792
Ind875	78	S	.	.
Ind876	78	S	.	.
Ind877	78	S	.	.
Ind878	78	S	0.907773	17.9057
Ind879	78	S	.	8.83913
Ind880	79	I	no	5.08392
Ind881	79	I	no	.
Ind882	79	S	.	.
Ind883	79	S	.	11.6981
Ind884	79	S	.	.
Ind885	79	S	0.743997	.
Ind886	79	S	1.38848	7.675
Ind887	79	S	.	.
Ind888	79	S	6.03596	.
Ind889	79	S	.	18.8258
Ind890	80	I	no	8.79278
Ind891	80	I	no	5.54635
Ind892	80	S	3.08085	10.0627
Ind893	80	S	no	no
Ind894	80	S	1.28714	8.21048
Ind895	80	S	.	.
Ind896	80	S	.	.
Ind897	80	S	1.60534	13.4565
Ind898	80	S	.	22.3418
Ind899	80	S	1.66592	.
Ind900	81	I	no	.
